# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-25 19:59:27 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01570500 Susquehanna River at Harrisburg, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01570500
#            TS   parameter     Description
#        122065       00060     Discharge, cubic feet per second
#        122066       00065     Gage height, feet
#        122072       00045     Precipitation, total, inches
#        122073       00010     Temperature, water, degrees Celsius, WALNUT ST PIER
#        122074       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, WALNUT ST PIER
#        122075       00400     pH, water, unfiltered, field, standard units, WALNUT ST PIER
#        122076       00300     Dissolved oxygen, water, unfiltered, milligrams per liter, WALNUT ST PIER
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	122065_00060	122065_00060_cd	122066_00065	122066_00065_cd	122073_00010	122073_00010_cd	122074_00095	122074_00095_cd
USGS	01570500	2015-03-15 18:30	EDT			8.28	A				
USGS	01570500	2015-03-15 19:00	EDT			8.29	A				
USGS	01570500	2015-03-15 19:30	EDT			8.32	A				
USGS	01570500	2015-03-15 20:00	EDT			8.37	A				
USGS	01570500	2015-03-15 20:30	EDT			8.40	A				
USGS	01570500	2015-03-15 21:00	EDT			8.39	A				
USGS	01570500	2015-03-15 21:30	EDT			8.36	A				
USGS	01570500	2015-03-15 22:00	EDT			8.32	A				
USGS	01570500	2015-03-15 22:30	EDT			8.29	A				
USGS	01570500	2015-03-15 23:00	EDT			8.28	A				
USGS	01570500	2015-03-15 23:30	EDT			8.26	A				
USGS	01570500	2015-03-16 00:00	EDT			8.25	A				
USGS	01570500	2015-03-16 00:30	EDT			8.25	A				
USGS	01570500	2015-03-16 01:00	EDT			8.25	A				
USGS	01570500	2015-03-16 01:30	EDT			8.24	A				
USGS	01570500	2015-03-16 02:00	EDT			8.23	A				
USGS	01570500	2015-03-16 02:30	EDT			8.21	A				
USGS	01570500	2015-03-16 03:00	EDT			8.19	A				
USGS	01570500	2015-03-16 03:30	EDT			8.17	A				
USGS	01570500	2015-03-16 04:00	EDT			8.15	A				
USGS	01570500	2015-03-16 04:30	EDT			8.15	A				
USGS	01570500	2015-03-16 05:00	EDT			8.13	A				
USGS	01570500	2015-03-16 05:30	EDT			8.11	A				
USGS	01570500	2015-03-16 06:00	EDT			8.08	A				
USGS	01570500	2015-03-16 06:30	EDT			8.06	A				
USGS	01570500	2015-03-16 07:00	EDT			8.05	A				
USGS	01570500	2015-03-16 07:30	EDT			8.05	A				
USGS	01570500	2015-03-16 08:00	EDT			8.04	A				
USGS	01570500	2015-03-16 08:30	EDT			8.04	A				
USGS	01570500	2015-03-16 09:00	EDT			8.03	A				
USGS	01570500	2015-03-16 09:30	EDT			8.02	A				
USGS	01570500	2015-03-16 10:00	EDT			8.00	A				
USGS	01570500	2015-03-16 10:30	EDT			7.99	A				
USGS	01570500	2015-03-16 11:00	EDT			7.99	A				
USGS	01570500	2015-03-16 11:30	EDT			7.98	A				
USGS	01570500	2015-03-16 12:00	EDT			7.98	A				
USGS	01570500	2015-03-16 12:30	EDT			7.98	A				
USGS	01570500	2015-03-16 13:00	EDT			8.02	A				
USGS	01570500	2015-03-16 13:30	EDT			8.03	A				
USGS	01570500	2015-03-16 14:00	EDT			8.04	A				
USGS	01570500	2015-03-16 14:30	EDT			8.04	A				
USGS	01570500	2015-03-16 15:00	EDT			8.03	A				
USGS	01570500	2015-03-16 15:30	EDT			8.05	A				
USGS	01570500	2015-03-16 16:00	EDT			8.07	A				
USGS	01570500	2015-03-16 16:30	EDT			8.09	A				
USGS	01570500	2015-03-16 17:00	EDT			8.08	A				
USGS	01570500	2015-03-16 17:30	EDT			8.10	A				
USGS	01570500	2015-03-16 18:00	EDT			8.09	A				
USGS	01570500	2015-03-16 18:30	EDT			8.09	A				
USGS	01570500	2015-03-16 19:00	EDT			8.09	A				
USGS	01570500	2015-03-16 19:30	EDT			8.16	A				
USGS	01570500	2015-03-16 20:00	EDT			8.30	A				
USGS	01570500	2015-03-16 20:30	EDT			8.34	A				
USGS	01570500	2015-03-16 21:00	EDT			8.32	A				
USGS	01570500	2015-03-16 21:30	EDT			8.30	A				
USGS	01570500	2015-03-16 22:00	EDT			8.27	A				
USGS	01570500	2015-03-16 22:30	EDT			8.26	A				
USGS	01570500	2015-03-16 23:00	EDT			8.30	A				
USGS	01570500	2015-03-16 23:30	EDT			8.27	A				
USGS	01570500	2015-03-17 00:00	EDT			8.25	A				
USGS	01570500	2015-03-17 00:30	EDT			8.26	A				
USGS	01570500	2015-03-17 01:00	EDT			8.27	A				
USGS	01570500	2015-03-17 01:30	EDT			8.26	A				
USGS	01570500	2015-03-17 02:00	EDT			8.26	A				
USGS	01570500	2015-03-17 02:30	EDT			8.30	A				
USGS	01570500	2015-03-17 03:00	EDT			8.32	A				
USGS	01570500	2015-03-17 03:30	EDT			8.29	A				
USGS	01570500	2015-03-17 04:00	EDT			8.33	A				
USGS	01570500	2015-03-17 04:30	EDT			8.33	A				
USGS	01570500	2015-03-17 05:00	EDT			8.36	A				
USGS	01570500	2015-03-17 05:30	EDT			8.42	A				
USGS	01570500	2015-03-17 06:00	EDT			8.39	A				
USGS	01570500	2015-03-17 06:30	EDT			8.34	A				
USGS	01570500	2015-03-17 07:00	EDT			8.28	A				
USGS	01570500	2015-03-17 07:30	EDT			8.22	A				
USGS	01570500	2015-03-17 08:00	EDT			8.23	A				
USGS	01570500	2015-03-17 08:30	EDT			8.27	A				
USGS	01570500	2015-03-17 09:00	EDT			8.28	A				
USGS	01570500	2015-03-17 09:30	EDT			8.21	A				
USGS	01570500	2015-03-17 10:00	EDT			8.03	A				
USGS	01570500	2015-03-17 10:30	EDT			7.86	A				
USGS	01570500	2015-03-17 11:00	EDT			7.75	A				
USGS	01570500	2015-03-17 11:30	EDT			7.65	A				
USGS	01570500	2015-03-17 12:00	EDT			7.48	A				
USGS	01570500	2015-03-17 12:30	EDT			7.31	A				
USGS	01570500	2015-03-17 13:00	EDT			7.22	A				
USGS	01570500	2015-03-17 13:30	EDT			7.15	A				
USGS	01570500	2015-03-17 14:00	EDT			7.10	A				
USGS	01570500	2015-03-17 14:30	EDT			7.06	A				
USGS	01570500	2015-03-17 15:00	EDT			7.02	A				
USGS	01570500	2015-03-17 15:30	EDT			6.99	A				
USGS	01570500	2015-03-17 16:00	EDT			6.97	A				
USGS	01570500	2015-03-17 16:30	EDT			6.96	A				
USGS	01570500	2015-03-17 17:00	EDT			6.96	A				
USGS	01570500	2015-03-17 17:30	EDT			6.96	A				
USGS	01570500	2015-03-17 18:00	EDT			6.95	A				
USGS	01570500	2015-03-17 18:30	EDT			6.94	A				
USGS	01570500	2015-03-17 19:00	EDT			6.94	A				
USGS	01570500	2015-03-17 19:30	EDT			6.95	A				
USGS	01570500	2015-03-17 20:00	EDT			6.95	A				
USGS	01570500	2015-03-17 20:30	EDT			6.96	A				
USGS	01570500	2015-03-17 21:00	EDT			6.95	A				
USGS	01570500	2015-03-17 21:30	EDT			6.95	A				
USGS	01570500	2015-03-17 22:00	EDT			6.95	A				
USGS	01570500	2015-03-17 22:30	EDT			6.95	A				
USGS	01570500	2015-03-17 23:00	EDT			6.95	A				
USGS	01570500	2015-03-17 23:30	EDT			6.96	A				
USGS	01570500	2015-03-18 00:00	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 00:30	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 01:00	EDT	76600	A	6.97	A				
USGS	01570500	2015-03-18 01:30	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 02:00	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 02:30	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 03:00	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 03:30	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 04:00	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 04:30	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 05:00	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 05:30	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 06:00	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 06:30	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 07:00	EDT	76000	A	6.94	A				
USGS	01570500	2015-03-18 07:30	EDT	76000	A	6.94	A				
USGS	01570500	2015-03-18 08:00	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 08:30	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 09:00	EDT	76000	A	6.94	A				
USGS	01570500	2015-03-18 09:30	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 10:00	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 10:30	EDT	76200	A	6.95	A				
USGS	01570500	2015-03-18 11:00	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 11:30	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 12:00	EDT	76400	A	6.96	A				
USGS	01570500	2015-03-18 12:30	EDT	76600	A	6.97	A				
USGS	01570500	2015-03-18 13:00	EDT	76600	A	6.97	A				
USGS	01570500	2015-03-18 13:30	EDT	76600	A	6.97	A				
USGS	01570500	2015-03-18 14:00	EDT	77000	A	6.99	A				
USGS	01570500	2015-03-18 14:30	EDT	77000	A	6.99	A				
USGS	01570500	2015-03-18 15:00	EDT	77200	A	7.00	A				
USGS	01570500	2015-03-18 15:30	EDT	77400	A	7.01	A				
USGS	01570500	2015-03-18 16:00	EDT	77400	A	7.01	A				
USGS	01570500	2015-03-18 16:30	EDT	77700	A	7.02	A				
USGS	01570500	2015-03-18 17:00	EDT	77900	A	7.03	A				
USGS	01570500	2015-03-18 17:30	EDT	78100	A	7.04	A				
USGS	01570500	2015-03-18 18:00	EDT	78300	A	7.05	A				
USGS	01570500	2015-03-18 18:30	EDT	78500	A	7.06	A				
USGS	01570500	2015-03-18 19:00	EDT	78700	A	7.07	A				
USGS	01570500	2015-03-18 19:30	EDT	78500	A	7.06	A				
USGS	01570500	2015-03-18 20:00	EDT	79000	A	7.08	A				
USGS	01570500	2015-03-18 20:30	EDT	79200	A	7.09	A				
USGS	01570500	2015-03-18 21:00	EDT	79400	A	7.10	A				
USGS	01570500	2015-03-18 21:30	EDT	79600	A	7.11	A				
USGS	01570500	2015-03-18 22:00	EDT	79600	A	7.11	A				
USGS	01570500	2015-03-18 22:30	EDT	79800	A	7.12	A				
USGS	01570500	2015-03-18 23:00	EDT	79800	A	7.12	A				
USGS	01570500	2015-03-18 23:30	EDT	80000	A	7.13	A				
USGS	01570500	2015-03-19 00:00	EDT	80000	A	7.13	A				
USGS	01570500	2015-03-19 00:30	EDT	80000	A	7.13	A				
USGS	01570500	2015-03-19 01:00	EDT	80300	A	7.14	A				
USGS	01570500	2015-03-19 01:30	EDT	80300	A	7.14	A				
USGS	01570500	2015-03-19 02:00	EDT	80500	A	7.15	A				
USGS	01570500	2015-03-19 02:30	EDT	80700	A	7.16	A				
USGS	01570500	2015-03-19 03:00	EDT	80500	A	7.15	A				
USGS	01570500	2015-03-19 03:30	EDT	80900	A	7.17	A				
USGS	01570500	2015-03-19 04:00	EDT	80700	A	7.16	A				
USGS	01570500	2015-03-19 04:30	EDT	80900	A	7.17	A				
USGS	01570500	2015-03-19 05:00	EDT	81100	A	7.18	A				
USGS	01570500	2015-03-19 05:30	EDT	81100	A	7.18	A				
USGS	01570500	2015-03-19 06:00	EDT	81300	A	7.19	A				
USGS	01570500	2015-03-19 06:30	EDT	81300	A	7.19	A				
USGS	01570500	2015-03-19 07:00	EDT	81800	A	7.21	A				
USGS	01570500	2015-03-19 07:30	EDT	81800	A	7.21	A				
USGS	01570500	2015-03-19 08:00	EDT	82000	A	7.22	A				
USGS	01570500	2015-03-19 08:30	EDT	82200	A	7.23	A				
USGS	01570500	2015-03-19 09:00	EDT	82400	A	7.24	A				
USGS	01570500	2015-03-19 09:30	EDT	82900	A	7.26	A				
USGS	01570500	2015-03-19 10:00	EDT	82900	A	7.26	A				
USGS	01570500	2015-03-19 10:30	EDT	83300	A	7.28	A				
USGS	01570500	2015-03-19 11:00	EDT	83600	A	7.29	A				
USGS	01570500	2015-03-19 11:30	EDT	83600	A	7.30	A				
USGS	01570500	2015-03-19 12:00	EDT	83800	A	7.31	A				
USGS	01570500	2015-03-19 12:30	EDT	84400	A	7.34	A				
USGS	01570500	2015-03-19 13:00	EDT	84700	A	7.36	A				
USGS	01570500	2015-03-19 13:30	EDT	84900	A	7.37	A				
USGS	01570500	2015-03-19 14:00	EDT	85100	A	7.38	A				
USGS	01570500	2015-03-19 14:30	EDT	85600	A	7.41	A				
USGS	01570500	2015-03-19 15:00	EDT	86200	A	7.44	A				
USGS	01570500	2015-03-19 15:30	EDT	86600	A	7.46	A				
USGS	01570500	2015-03-19 16:00	EDT	87100	A	7.49	A				
USGS	01570500	2015-03-19 16:30	EDT	87900	A	7.53	A				
USGS	01570500	2015-03-19 17:00	EDT	88600	A	7.57	A				
USGS	01570500	2015-03-19 17:30	EDT	89500	A	7.62	A				
USGS	01570500	2015-03-19 18:00	EDT	90300	A	7.66	A				
USGS	01570500	2015-03-19 18:30	EDT	90800	A	7.69	A				
USGS	01570500	2015-03-19 19:00	EDT	91400	A	7.72	A				
USGS	01570500	2015-03-19 19:30	EDT	92200	A	7.76	A				
USGS	01570500	2015-03-19 20:00	EDT	92900	A	7.80	A				
USGS	01570500	2015-03-19 20:30	EDT	93500	A	7.83	A				
USGS	01570500	2015-03-19 21:00	EDT	93700	A	7.84	A				
USGS	01570500	2015-03-19 21:30	EDT	94000	A	7.86	A				
USGS	01570500	2015-03-19 22:00	EDT	94600	A	7.89	A				
USGS	01570500	2015-03-19 22:30	EDT	94800	A	7.90	A				
USGS	01570500	2015-03-19 23:00	EDT	94600	A	7.89	A				
USGS	01570500	2015-03-19 23:30	EDT	94400	A	7.88	A				
USGS	01570500	2015-03-20 00:00	EDT	94400	A	7.88	A				
USGS	01570500	2015-03-20 00:30	EDT	94200	A	7.87	A				
USGS	01570500	2015-03-20 01:00	EDT	93900	A	7.85	A				
USGS	01570500	2015-03-20 01:30	EDT	93500	A	7.83	A				
USGS	01570500	2015-03-20 02:00	EDT	93500	A	7.83	A				
USGS	01570500	2015-03-20 02:30	EDT	93100	A	7.81	A				
USGS	01570500	2015-03-20 03:00	EDT	92500	A	7.78	A				
USGS	01570500	2015-03-20 03:30	EDT	92200	A	7.76	A				
USGS	01570500	2015-03-20 04:00	EDT	91800	A	7.74	A				
USGS	01570500	2015-03-20 04:30	EDT	91200	A	7.71	A				
USGS	01570500	2015-03-20 05:00	EDT	90800	A	7.69	A				
USGS	01570500	2015-03-20 05:30	EDT	90300	A	7.66	A				
USGS	01570500	2015-03-20 06:00	EDT	90100	A	7.65	A				
USGS	01570500	2015-03-20 06:30	EDT	89700	A	7.63	A				
USGS	01570500	2015-03-20 07:00	EDT	89300	A	7.61	A				
USGS	01570500	2015-03-20 07:30	EDT	89300	A	7.61	A				
USGS	01570500	2015-03-20 08:00	EDT	88600	A	7.57	A				
USGS	01570500	2015-03-20 08:30	EDT	88400	A	7.56	A				
USGS	01570500	2015-03-20 09:00	EDT	88200	A	7.55	A				
USGS	01570500	2015-03-20 09:30	EDT	87900	A	7.53	A				
USGS	01570500	2015-03-20 10:00	EDT	87700	A	7.52	A				
USGS	01570500	2015-03-20 10:30	EDT	87700	A	7.52	A				
USGS	01570500	2015-03-20 11:00	EDT	87500	A	7.51	A				
USGS	01570500	2015-03-20 11:30	EDT	87100	A	7.49	A				
USGS	01570500	2015-03-20 12:00	EDT	87300	A	7.50	A				
USGS	01570500	2015-03-20 12:30	EDT	87100	A	7.49	A				
USGS	01570500	2015-03-20 13:00	EDT	86900	A	7.48	A				
USGS	01570500	2015-03-20 13:30	EDT	86900	A	7.48	A				
USGS	01570500	2015-03-20 14:00	EDT	86700	A	7.47	A				
USGS	01570500	2015-03-20 14:30	EDT	86700	A	7.47	A				
USGS	01570500	2015-03-20 15:00	EDT	86700	A	7.47	A				
USGS	01570500	2015-03-20 15:30	EDT	86600	A	7.46	A				
USGS	01570500	2015-03-20 16:00	EDT	86600	A	7.46	A				
USGS	01570500	2015-03-20 16:30	EDT	86400	A	7.45	A				
USGS	01570500	2015-03-20 17:00	EDT	86600	A	7.46	A				
USGS	01570500	2015-03-20 17:30	EDT	86200	A	7.44	A				
USGS	01570500	2015-03-20 18:00	EDT	86400	A	7.45	A				
USGS	01570500	2015-03-20 18:30	EDT	86700	A	7.47	A				
USGS	01570500	2015-03-20 19:00	EDT	86700	A	7.47	A				
USGS	01570500	2015-03-20 19:30	EDT	87100	A	7.49	A				
USGS	01570500	2015-03-20 20:00	EDT	87100	A	7.49	A				
USGS	01570500	2015-03-20 20:30	EDT	87300	A	7.50	A				
USGS	01570500	2015-03-20 21:00	EDT	87700	A	7.52	A				
USGS	01570500	2015-03-20 21:30	EDT	88000	A	7.54	A				
USGS	01570500	2015-03-20 22:00	EDT	88400	A	7.56	A				
USGS	01570500	2015-03-20 22:30	EDT	88600	A	7.57	A				
USGS	01570500	2015-03-20 23:00	EDT	89000	A	7.59	A				
USGS	01570500	2015-03-20 23:30	EDT	88800	A	7.58	A				
USGS	01570500	2015-03-21 00:00	EDT	89200	A	7.60	A				
USGS	01570500	2015-03-21 00:30	EDT	89300	A	7.61	A				
USGS	01570500	2015-03-21 01:00	EDT	89200	A	7.60	A				
USGS	01570500	2015-03-21 01:30	EDT	89300	A	7.61	A				
USGS	01570500	2015-03-21 02:00	EDT	89300	A	7.61	A				
USGS	01570500	2015-03-21 02:30	EDT	89000	A	7.59	A				
USGS	01570500	2015-03-21 03:00	EDT	88800	A	7.58	A				
USGS	01570500	2015-03-21 03:30	EDT	88800	A	7.58	A				
USGS	01570500	2015-03-21 04:00	EDT	88000	A	7.54	A				
USGS	01570500	2015-03-21 04:30	EDT	87900	A	7.53	A				
USGS	01570500	2015-03-21 05:00	EDT	87300	A	7.50	A				
USGS	01570500	2015-03-21 05:30	EDT	86900	A	7.48	A				
USGS	01570500	2015-03-21 06:00	EDT	86400	A	7.45	A				
USGS	01570500	2015-03-21 06:30	EDT	85600	A	7.41	A				
USGS	01570500	2015-03-21 07:00	EDT	85100	A	7.38	A				
USGS	01570500	2015-03-21 07:30	EDT	84500	A	7.35	A				
USGS	01570500	2015-03-21 08:00	EDT	84000	A	7.32	A				
USGS	01570500	2015-03-21 08:30	EDT	83300	A	7.28	A				
USGS	01570500	2015-03-21 09:00	EDT	82700	A	7.25	A				
USGS	01570500	2015-03-21 09:30	EDT	82000	A	7.22	A				
USGS	01570500	2015-03-21 10:00	EDT	81300	A	7.19	A				
USGS	01570500	2015-03-21 10:30	EDT	80300	A	7.14	A				
USGS	01570500	2015-03-21 11:00	EDT	79600	A	7.11	A				
USGS	01570500	2015-03-21 11:30	EDT	79000	A	7.08	A				
USGS	01570500	2015-03-21 12:00	EDT	78300	A	7.05	A				
USGS	01570500	2015-03-21 12:30	EDT	77900	A	7.03	A				
USGS	01570500	2015-03-21 13:00	EDT	77000	A	6.99	A				
USGS	01570500	2015-03-21 13:30	EDT	76600	A	6.97	A				
USGS	01570500	2015-03-21 14:00	EDT	76000	A	6.94	A				
USGS	01570500	2015-03-21 14:30	EDT	75300	A	6.91	A				
USGS	01570500	2015-03-21 15:00	EDT	74900	A	6.89	A				
USGS	01570500	2015-03-21 15:30	EDT	74300	A	6.86	A				
USGS	01570500	2015-03-21 16:00	EDT	73800	A	6.84	A				
USGS	01570500	2015-03-21 16:30	EDT	73200	A	6.81	A				
USGS	01570500	2015-03-21 17:00	EDT	73000	A	6.80	A				
USGS	01570500	2015-03-21 17:30	EDT	72400	A	6.77	A				
USGS	01570500	2015-03-21 18:00	EDT	72000	A	6.75	A				
USGS	01570500	2015-03-21 18:30	EDT	71600	A	6.73	A				
USGS	01570500	2015-03-21 19:00	EDT	71400	A	6.72	A				
USGS	01570500	2015-03-21 19:30	EDT	70900	A	6.70	A				
USGS	01570500	2015-03-21 20:00	EDT	70500	A	6.68	A				
USGS	01570500	2015-03-21 20:30	EDT	70100	A	6.66	A				
USGS	01570500	2015-03-21 21:00	EDT	69900	A	6.65	A				
USGS	01570500	2015-03-21 21:30	EDT	69700	A	6.64	A				
USGS	01570500	2015-03-21 22:00	EDT	69700	A	6.64	A				
USGS	01570500	2015-03-21 22:30	EDT	69100	A	6.61	A				
USGS	01570500	2015-03-21 23:00	EDT	68700	A	6.59	A				
USGS	01570500	2015-03-21 23:30	EDT	68500	A	6.58	A				
USGS	01570500	2015-03-22 00:00	EDT	68100	A	6.56	A				
USGS	01570500	2015-03-22 00:30	EDT	67900	A	6.55	A				
USGS	01570500	2015-03-22 01:00	EDT	67700	A	6.54	A				
USGS	01570500	2015-03-22 01:30	EDT	67500	A	6.53	A				
USGS	01570500	2015-03-22 02:00	EDT	67300	A	6.52	A				
USGS	01570500	2015-03-22 02:30	EDT	67100	A	6.51	A				
USGS	01570500	2015-03-22 03:00	EDT	66700	A	6.49	A				
USGS	01570500	2015-03-22 03:30	EDT	66500	A	6.48	A				
USGS	01570500	2015-03-22 04:00	EDT	66300	A	6.47	A				
USGS	01570500	2015-03-22 04:30	EDT	66100	A	6.46	A				
USGS	01570500	2015-03-22 05:00	EDT	65900	A	6.45	A				
USGS	01570500	2015-03-22 05:30	EDT	65700	A	6.44	A				
USGS	01570500	2015-03-22 06:00	EDT	65500	A	6.43	A				
USGS	01570500	2015-03-22 06:30	EDT	65300	A	6.42	A				
USGS	01570500	2015-03-22 07:00	EDT	65100	A	6.41	A				
USGS	01570500	2015-03-22 07:30	EDT	65100	A	6.41	A				
USGS	01570500	2015-03-22 08:00	EDT	64900	A	6.40	A				
USGS	01570500	2015-03-22 08:30	EDT	64700	A	6.39	A				
USGS	01570500	2015-03-22 09:00	EDT	64700	A	6.39	A				
USGS	01570500	2015-03-22 09:30	EDT	64500	A	6.38	A				
USGS	01570500	2015-03-22 10:00	EDT	64300	A	6.37	A				
USGS	01570500	2015-03-22 10:30	EDT	64100	A	6.36	A				
USGS	01570500	2015-03-22 11:00	EDT	64100	A	6.36	A				
USGS	01570500	2015-03-22 11:30	EDT	63700	A	6.34	A				
USGS	01570500	2015-03-22 12:00	EDT	63700	A	6.34	A				
USGS	01570500	2015-03-22 12:30	EDT	63400	A	6.33	A				
USGS	01570500	2015-03-22 13:00	EDT	63200	A	6.32	A				
USGS	01570500	2015-03-22 13:30	EDT	63200	A	6.32	A				
USGS	01570500	2015-03-22 14:00	EDT	63000	A	6.31	A				
USGS	01570500	2015-03-22 14:30	EDT	62800	A	6.30	A				
USGS	01570500	2015-03-22 15:00	EDT	62600	A	6.29	A				
USGS	01570500	2015-03-22 15:30	EDT	62400	A	6.28	A				
USGS	01570500	2015-03-22 16:00	EDT	62400	A	6.28	A				
USGS	01570500	2015-03-22 16:30	EDT	62200	A	6.27	A				
USGS	01570500	2015-03-22 17:00	EDT	62000	A	6.26	A				
USGS	01570500	2015-03-22 17:30	EDT	62000	A	6.26	A				
USGS	01570500	2015-03-22 18:00	EDT	61800	A	6.25	A				
USGS	01570500	2015-03-22 18:30	EDT	61600	A	6.24	A				
USGS	01570500	2015-03-22 19:00	EDT	61600	A	6.24	A				
USGS	01570500	2015-03-22 19:30	EDT	61400	A	6.23	A				
