Sample	Month	Year	DateMMDDYY	CollectionAgency	StationName	Latitude	Depth	Depth_Percentage	WTEMP	DO	CHLA	SALINITY	NO2F	NH4F	PC	PHEO	NO3F	Discharge_Susquehanna_14	day_length
SB082015TAWCSCB33CD19BR1TR1I71	8	15	082015	Preheim	CB33C	39.000233	18.955	0.749691738594328	26.351	0.0		19.84						133004.37500000006	0.5049610547215202
SB082015TAWCSCB33CD20BR1TR1I74	8	15	082015	Preheim	CB33C	39.000233	19.884	0.7891491985203453	26.351	0.0		19.89						133004.37500000006	0.5049610547215202
SB062716TAWCSCB33CD1BR2TR1I80	6	16	062716	Preheim	CB33C	38.99738333333333	1.235	0.03945745992601726	24.291999999999998	8.55		11.1						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD2BR1TR1I81	6	16	062716	Preheim	CB33C	38.99738333333333	2.365	0.07891491985203453	24.06	6.98		11.55						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD4BR1TR1I82	6	16	062716	Preheim	CB33C	38.99738333333333	4.399	0.15782983970406905	23.778000000000002	6.27		11.76						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD6BR1TR1I83	6	16	062716	Preheim	CB33C	38.99738333333333	6.37	0.2367447595561036	23.386999999999997	4.55		12.59						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD8BR1TR1I84	6	16	062716	Preheim	CB33C	38.99738333333333	8.32	0.3156596794081381	22.5	3.25		13.64						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD10BR1TR1I85	6	16	062716	Preheim	CB33C	38.99738333333333	9.94	0.39457459926017263	20.724	1.08		15.57						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD12BR2TR1I87	6	16	062716	Preheim	CB33C	38.99738333333333	12.12	0.4734895191122072	20.364	0.74		16.04						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD14BR1TR1I88	6	16	062716	Preheim	CB33C	38.99738333333333	14.35	0.5524044389642416	20.37	0.75		16.07						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD16BR1TR1I89	6	16	062716	Preheim	CB33C	38.99738333333333	16.387999999999998	0.6313193588162762	20.209	0.61		16.17						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD18BR1TR1I90	6	16	062716	Preheim	CB33C	38.99738333333333	17.99	0.7102342786683107	20.139	0.57		16.23						147550.83333333337	0.99167731989929
SB062716TAWCSCB33CD21BR1TR1I92	6	16	062716	Preheim	CB33C	38.99738333333333	20.688000000000002	0.8286066584463625	19.965999999999998	0.43		16.49						147550.83333333337	0.99167731989929
SB071116TAWCSCB22D11BR2TR2I616	7	16	071116	DNR	CB22	39.348730000000025	11.0	0.912442396313364	26.8	5.3	6.622000000000001	6.43	0.004	0.028	0.866	3.695	0.146	93274.58333333331	0.9192859697186108
SB072516TAWCSCB33CD0BR1TR2I620	7	16	072516	Preheim	CB33C	38.99791873385773	0.209	0.0	28.441	7.16		12.26						77681.45833333331	0.8190148866680798
SB072516TAWCSCB33CD0BR2TR1I96	7	16	072516	Preheim	CB33C	38.99791873385773	2.26	0.07891491985203453	28.22	7.11		13.2						77681.45833333331	0.8190148866680798
SB072516TAWCSCB33CD4BR1TR1I102	7	16	072516	Preheim	CB33C	38.99791873385773	3.97	0.15782983970406905	27.858	6.16		13.5						77681.45833333331	0.8190148866680798
SB072516TAWCSCB33CD6BR1TR1I104	7	16	072516	Preheim	CB33C	38.99791873385773	6.023	0.2367447595561036	27.941999999999997	5.08		14.07						77681.45833333331	0.8190148866680798
SB072516TAWCSCB33CD8BR1TR1I107	7	16	072516	Preheim	CB33C	38.99791873385773	8.09	0.3156596794081381	26.26	1.29		15.63						77681.45833333331	0.8190148866680798
SB071116TAWCSCB33CD24BR1TR2I611	7	16	071116	DNR	CB33C	38.995959999999975	24.0	0.9469790382244144	22.6	0.36	0.961	18.21	0.0014	0.23	0.257	0.235	0.002433333333333333	95166.875	0.92592477719385
SB071116TAWCSCB43CD26BR1TR1I151	7	16	071116	DNR	CB43C	38.55505000000002	26.0	0.9801980198019802	23.2	0.74	0.748	19.94	0.0069	0.138	0.244	0.374	0.0099	95166.875	0.92592477719385
SB071116TAWCSCB44D30BR1TR1I152	7	16	071116	DNR	CB44	38.41457000000001	30.0	0.9647302904564315	22.9	0.6		20.36						96602.29166666669	0.932289213174514
SB071116TAWCSCB51D33BR1TR1I153	7	16	071116	DNR	CB51	38.318700000000014	33.0	0.9580645161290324	22.8	0.5	0.534	20.85	0.0094	0.24	0.235	0.214	0.0094	96602.29166666669	0.932289213174514
SB071116TAWCSCB52D29BR1TR2I619	7	16	071116	DNR	CB52	38.137050000000016	29.0	0.9430894308943092	24.4	3.2	1.709	20.22	0.0088	0.105	0.373	1.132	0.0069	96602.29166666669	0.932289213174514
SB071116TAWCSCB53D25BR2TR2I615	7	16	071116	DNR	CB53	37.91011000000001	25.0	0.9395973154362416	24.8	4.1	1.335	21.97	0.0045	0.092	0.633	2.496	0.0134	96602.29166666669	0.932289213174514
SB071116TAWCSCB54D25BR1TR1I157	7	16	071116	ODU	CB54	37.800129999999996	25.0	0.7797270955165692	24.972	3.25		22.92						95166.875	0.92592477719385
SB071116TAWCSCB71D20BR1TR1I167	7	16	071116	ODU	CB71	37.683459999999975	20.0	0.8888888888888888	25.639	3.78	2.5365	23.03	0.004	0.105	0.368	1.368	0.008	95166.875	0.92592477719385
SB071116TAWCSCB62D9BR1TR1I161	7	16	071116	ODU	CB62	37.48680000000001	9.0	0.8780487804878049	25.135	3.25	3.204	23.02	0.0029	0.0675	0.5838300000000001	1.368	0.0052	96602.29166666669	0.932289213174514
SB071116TAWCSCB63D10BR1TR1I163	7	16	071116	ODU	CB63	37.41152999999998	10.0	0.967032967032967	25.355	4.06	2.2695	24.02	0.0033	0.0898	0.51452	1.368	0.0031	96602.29166666669	0.932289213174514
SB071116TAWCSCB72D20BR1TR1I169	7	16	071116	ODU	CB72	37.41152999999998	20.0	0.9338521400778208	24.913	5.06	1.602	26.21	0.0017	0.0684	0.54374	1.7622	0.0015	96602.29166666669	0.932289213174514
SB071116TAWCSCB64D10BR1TR1I165	7	16	071116	ODU	CB64	37.23653000000001	10.0	0.8571428571428571	24.71	3.79	2.5365	25.26	0.0026	0.0556	0.39349	1.368	0.0043	93274.58333333331	0.9192859697186108
SB071116TAWCSCB74D13BR2TR1I173	7	16	071116	ODU	CB74	36.995699999999964	13.0	0.9333333333333332	19.572	6.45	1.368	31.45	0.0008	0.0071	0.24004	1.368	-0.00035	96602.29166666669	0.932289213174514
SB081216TAWCSCB22D11BR1TR2I617	8	16	081216	DNR	CB22	39.348730000000025	11.0	0.912442396313364	28.0	5.3	4.913	5.45	0.0255	0.058	0.994	3.46	0.0795	106474.79166666666	0.6321034111873484
SB083116TAWCSCB22D11BR2TR2I622	8	16	083116	DNR	CB22	39.348730000000025	11.0	0.912442396313364	27.8	4.2	2.563	8.38	0.1895	0.013	1.08	2.221	0.0715	130080.0	0.31719128858910617
SB081216TAWCSCB31D13BR1TR1I177	8	16	081216	DNR	CB31	39.24950000000001	13.0	0.9339080459770116	27.3	2.1	3.845	11.41	0.107	0.085	0.855	2.286	0.029	106474.79166666666	0.6321034111873484
SB082916TAWCSCB31D13BR1TR2I212	8	16	082916	DNR	CB31	39.24950000000001	13.0	0.9339080459770116	27.5	3.1	3.845	12.99	0.1573	0.009000000000000001	0.981	3.631	0.0187	130080.0	0.31719128858910617
SB081216TAWCSCB32D10BR1TR2I621	8	16	081216	DNR	CB32	39.16368999999997	10.0	0.8080808080808081	27.0	1.2	3.204	12.93	0.1396	0.08	0.7979999999999999	1.431	0.0154	106474.79166666666	0.6321034111873484
SB081216TAWCSCB33CD0BR1TR1I126	8	16	081216	Preheim	CB33C	38.99791873385773	0.36	0.0	28.820999999999998	9.25		14.6						109029.375	0.6050560696488496
SB081216TAWCSCB33CD2BR1TR1I127	8	16	081216	Preheim	CB33C	38.99791873385773	2.029	0.07891491985203453	28.233	7.47		14.7						109029.375	0.6050560696488496
SB081216TAWCSCB33CD10BR1TR1I131	8	16	081216	Preheim	CB33C	38.99791873385773	10.217	0.39457459926017263	28.090999999999998	6.42		14.91						109029.375	0.6050560696488496
SB081216TAWCSCB33CD13BR1TR1I134	8	16	081216	Preheim	CB33C	38.99791873385773	12.874	0.5129469790382244	27.549	4.07		16.45						109029.375	0.6050560696488496
SB081216TAWCSCB33CD15BR1TR1I136	8	16	081216	Preheim	CB33C	38.99791873385773	14.853	0.5918618988902591	26.083000000000002	0.1		19.66						109029.375	0.6050560696488496
SB081216TAWCSCB33CD16BR2TR1I138	8	16	081216	Preheim	CB33C	38.99791873385773	16.0785	0.6313193588162762	26.043000000000003	0.11		19.855						109029.375	0.6050560696488496
SB081216TAWCSCB33CD18BR1TR1I140	8	16	081216	Preheim	CB33C	38.99791873385773	17.688	0.7102342786683107	26.011999999999997	0.11		20.05						109029.375	0.6050560696488496
SB081216TAWCSCB33CD24BR1TR2I623	8	16	081216	DNR	CB33C	38.995959999999975	24.0	0.9469790382244144	25.6	0.29	1.709	19.24	0.0007	0.2375	0.5565	3.0755	0.008525	103536.25	0.6453481132295509
SB081216TAWCSCB41CD31BR1TR2I618	8	16	081216	DNR	CB41C	38.82592999999998	31.0	0.96875	26.0	0.3	1.068	20.22	0.0007	0.244	0.339	1.1	0.0015	103536.25	0.6453481132295509
SB083016TAWCSCB41CD31BR1TR1I216	8	16	083016	DNR	CB41C	38.82592999999998	31.0	0.96875	27.1	0.36	0.831	20.99	0.0007	0.139	0.353	1.495	0.0008500000000000001	132691.45833333337	0.3334687789181865
SB081216TAWCSCB42CD26BR2TR1I612	8	16	081216	DNR	CB42C	38.64618	26.0	0.943310657596372	26.2	0.3	0.748	20.78	0.0007	0.232	0.308	0.748	0.0054	103536.25	0.6453481132295509
SB082916TAWCSCB43CD26BR1TR2I220	8	16	082916	DNR	CB43C	38.55505000000002	26.0	0.943894389438944	27.1	0.36	0.61	21.9	0.0007	0.056	0.262	0.35100000000000003	0.0006000000000000001	132691.45833333337	0.3334687789181865
SB081216TAWCSCB43CD26BR1TR1I184	8	16	081216	DNR	CB43C	38.555050000000016	26.0	0.943894389438944	26.5	0.3	0.8540000000000001	20.85	0.0004	0.2225	0.317	0.5660000000000001	0.0064	103536.25	0.6453481132295509
SB082916TAWCSCB44D30BR1TR1I222	8	16	082916	DNR	CB44	38.414570000000026	30.0	0.9647302904564315	27.1	0.3	0.534	22.67	0.0042	0.055	0.454	1.335	0.0026	133699.8625886525	0.3496474552512293
SB081216TAWCSCB51D33BR1TR1I186	8	16	081216	DNR	CB51	38.31870000000001	33.0	0.9580645161290324	27.1	0.3	0.61	21.76	0.0347	0.121	0.33	0.35100000000000003	0.0047	98408.95833333331	0.6584015846980491
SB082916TAWCSCB52D29BR1TR1I224	8	16	082916	DNR	CB52	38.137050000000016	29.0	0.975609756097561	27.5	0.4		22.67						133699.8625886525	0.3496474552512293
SB081216TAWCSCB53D25BR2TR2I189	8	16	081216	DNR	CB53	37.91011000000001	25.0	0.9395973154362416	27.1	3.4	1.922	23.31	0.0121	0.095	0.745	2.264	0.0059	98408.95833333331	0.6584015846980491
SB082916TAWCSCB53D25BR1TR2I610	8	16	082916	DNR	CB53	37.91011000000001	25.0	0.9395973154362416	27.7	2.7	1.388	23.38	0.0524	0.054000000000000006	0.8	2.275	0.0075	133699.8625886525	0.3496474552512293
SB081216TAWCSCB54D25BR1TR1I190	8	16	081216	ODU	CB54	37.800129999999996	25.0	0.7797270955165692	26.9	3.54		24.83						103536.25	0.6453481132295509
SB082916TAWCSCB54D25BR2TR1I228	8	16	082916	ODU	CB54	37.800129999999996	25.0	0.7797270955165692	27.515	2.74		24.15						132691.45833333337	0.3334687789181865
SB081216TAWCSCB71D20BR2TR1I201	8	16	081216	ODU	CB71	37.683459999999975	20.0	0.8888888888888888	26.684	3.72	2.2695	25.27	0.0038	0.1319	0.57516	2.0292	0.005	103536.25	0.6453481132295509
SB082916TAWCSCB71D20BR2TR1I238	8	16	082916	ODU	CB71	37.683459999999975	20.0	0.9444444444444444	27.21	3.82	4.6992	24.77	0.0051	0.0781	0.44842	1.368	0.0038	132691.45833333337	0.3334687789181865
SB081216TAWCSCB61D11BR1TR1I192	8	16	081216	ODU	CB61	37.58847000000002	11.0	0.9090909090909092	26.608	3.37	2.403	25.37	0.0058	0.1181	0.5815100000000001	1.368	0.0061	98408.95833333331	0.6584015846980491
SB082916TAWCSCB61D11BR1TR1I230	8	16	082916	ODU	CB61	37.58847000000002	11.0	0.9090909090909092	27.339	2.41	1.4685	24.06	0.026	0.0759	0.42593000000000003	1.368	0.0055	133699.8625886525	0.3496474552512293
SB081216TAWCSCB62D9BR1TR1I194	8	16	081216	ODU	CB62	37.48680000000001	9.0	0.8780487804878049	26.037	4.23	2.5365	26.39	0.0045	0.1001	0.46517	1.368	0.005	98408.95833333331	0.6584015846980491
SB082916TAWCSCB62D9BR1TR1I232	8	16	082916	ODU	CB62	37.48679999999996	9.0	0.8780487804878049	27.491	4.1	2.1478650000000004	23.35	0.01465	0.07615	0.5745199999999999	1.368	0.00575	133699.8625886525	0.3496474552512293
SB082916TAWCSCB63D10BR3TR1I234	8	16	082916	ODU	CB63	37.41152999999998	10.0	0.967032967032967	27.369	5.25	3.3226699999999996	24.16	0.0094	0.0503	0.78751	1.4952	0.0021	133699.8625886525	0.3496474552512293
SB081216TAWCSCB63D11BR2TR1I196	8	16	081216	ODU	CB63	37.41152999999998	11.0	0.967032967032967	25.714	4.71	2.403	27.4	0.004	0.0952	0.48725	1.368	0.0033	98408.95833333331	0.6584015846980491
SB081216TAWCSCB72D20BR2TR1I203	8	16	081216	ODU	CB72	37.41152999999998	20.0	0.980544747081712	25.425	5.44	2.5365	28.2	0.0015	0.0603	0.52877	1.9491	0.0013	98408.95833333331	0.6584015846980491
SB082916TAWCSCB72D20BR1TR1I241	8	16	082916	ODU	CB72	37.41152999999998	20.0	0.8871595330739299	26.42	6.0	2.7768	28.69	0.0011	0.0393	0.58444	2.30688	0.0006	133699.8625886525	0.3496474552512293
SB081216TAWCSCB64D10BR2TR1I199	8	16	081216	ODU	CB64	37.23652999999996	10.0	0.8571428571428571	26.692	4.25	4.272	23.92	0.00285	0.09365	0.502445	1.368	0.0063	103536.25	0.6453481132295509
SB082916TAWCSCB64D10BR1TR1I236	8	16	082916	ODU	CB64	37.23653000000001	10.0	0.9642857142857142	26.363000000000003	5.03	3.204	26.77	0.0027	0.0464	0.5776399999999999	1.94613	0.0029	130080.0	0.31719128858910617
SB081216TAWCSCB73D12BR1TR1I205	8	16	081216	ODU	CB73	37.11681	12.0	0.912280701754386	25.984	6.26	2.7768	28.58	0.0008	0.0208	0.39926999999999996	1.63404	-0.00035	98408.95833333331	0.6584015846980491
SB082916TAWCSCB74D13BR1TR1I246	8	16	082916	ODU	CB74	36.995699999999964	13.0	0.9333333333333332	23.825	7.37	2.8836	31.09	0.0008	0.0037	0.43094	1.368	-0.00035	133699.8625886525	0.3496474552512293
SB041117TAWCSCB22D11BR2TR1I288	4	17	041117	DNR	CB22	39.348730000000025	11.0	0.912442396313364	12.0	11.2	2.136	0.0	0.0051	0.044	3.67	3.097	0.8939	1772354.166666667	0.3975428142825543
SB041117TAWCSCB31D13BR1TR1I289	4	17	041117	DNR	CB31	39.24950000000001	13.0	0.9339080459770116	9.5	7.4	1.068	9.08	0.0133	0.229	4.78	12.389	0.4777	1772354.166666667	0.3975428142825543
SB041117TAWCSCB32D10BR2TR1I290	4	17	041117	DNR	CB32	39.16368999999997	10.0	0.7272727272727273	9.7	7.6	8.01	8.69	0.0099	0.136	1.49	5.447	0.4481	1772354.166666667	0.3975428142825543
SB041117TAWCSCB33CD5BR1TR1I286	4	17	041117	DNR	CB33C	38.995959999999975	1.0	0.0	11.7	10.2	2.136	3.0	0.0077	0.099	0.76	1.104	0.7823	1769062.5	0.3816892202666579
SB041117TAWCSCB33CD24BR1TR1I291	4	17	041117	DNR	CB33C	38.995959999999975	24.0	0.9075215782983972	7.5	6.3	6.23	17.66	0.0055000000000000005	0.13333333333333333	2.0	9.4695	0.08985	1769062.5	0.3816892202666579
SB041117TAWCSCB42CD26BR1TR1I293	4	17	041117	DNR	CB42C	38.64618	26.0	0.943310657596372	8.0	6.9	8.117	20.15	0.0021	0.09	0.81	2.948	0.0233	1769062.5	0.3816892202666579
SB041117TAWCSCB43CD27BR1TR1I294	4	17	041117	DNR	CB43C	38.55505000000002	27.0	0.943894389438944	8.4	7.1	9.612	20.43	0.0018	0.076	1.43	4.144	0.0222	1769062.5	0.3816892202666579
SB041117TAWCSCB44D31BR1TR1I295	4	17	041117	DNR	CB44	38.41457000000001	31.0	0.9647302904564315	9.4	7.5	7.476	23.24	0.0038	0.081	0.905	2.766	0.0141	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB51D33BR1TR1I296	4	17	041117	DNR	CB51	38.318700000000014	33.0	0.9870967741935484	9.6	7.6	6.622000000000001	23.87	0.0008	0.045	0.8490000000000001	2.499	0.0228	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB53D5BR1TR1I284	4	17	041117	DNR	CB53	37.91011000000001	1.0	0.0	12.0	11.0	11.214	14.73	0.0021	0.013	1.37	1.121	0.0192	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB54D25BR1TR1I300	4	17	041117	ODU	CB54	37.80012999999999	1.0	0.03118908382066277	11.819	10.83	10.68	15.74	0.0004	0.0038	1.13842	0.332	-0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB54D25BR2TR1I310	4	17	041117	ODU	CB54	37.800129999999996	25.0	0.7797270955165692	10.423	7.67		23.61						1724135.4166666663	0.3657225234972702
SB041117TAWCSCB71D20BR1TR1I306	4	17	041117	ODU	CB71	37.683459999999975	1.0	0.05555555555555555	12.539	9.82	3.204	19.49	0.0002	0.0038	0.6856800000000001	0.38448000000000004	0.0001	1634033.333333333	0.3496474552512284
SB041117TAWCSCB71D20BR2TR1I315	4	17	041117	ODU	CB71	37.683459999999975	20.0	0.8888888888888888	11.57	8.59	5.874	20.89	0.0002	0.0038	0.77268	0.40584000000000003	0.0001	1634033.333333333	0.3496474552512284
SB041117TAWCSCB61D11BR1TR1I302	4	17	041117	ODU	CB61	37.58847	1.0	0.08264462809917356	12.511	10.41	5.4468	17.68	0.0002	0.0038	0.86906	0.332	0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB61D11BR1TR1I311	4	17	041117	ODU	CB61	37.58847000000001	11.0	0.9090909090909092	11.493	8.82	5.1264	21.86	0.0002	0.0038	0.5647800000000001	0.332	0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB62D9BR1TR1I303	4	17	041117	ODU	CB62	37.48679999999999	1.0	0.0975609756097561	12.569	10.14	4.806	18.42	0.0002	0.0038	0.70749	0.332	0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB62D9BR1TR1I312	4	17	041117	ODU	CB62	37.4868	9.0	0.8780487804878049	11.318	9.07	7.2624	20.7	0.0002	0.0038	0.71225	0.332	0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB63D10BR1TR1I304	4	17	041117	ODU	CB63	37.41152999999999	1.0	0.08791208791208792	13.323	9.73	3.204	20.32	0.0002	0.0038	0.56419	0.332	0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB72D20BR1TR1I307	4	17	041117	ODU	CB72	37.41152999999999	1.0	0.04669260700389105	12.66	9.76	2.67	20.58	0.0003	0.0038	0.48662	0.332	0.0	1634033.333333333	0.3496474552512284
SB041117TAWCSCB63D10BR2TR1I313	4	17	041117	ODU	CB63	37.41152999999999	10.0	0.8791208791208791	11.706	9.16	6.6216	20.67	0.0002	0.0038	0.75337	0.332	0.0001	1724135.4166666663	0.3657225234972702
SB041117TAWCSCB72D20BR1TR1I316	4	17	041117	ODU	CB72	37.41152999999999	20.0	0.980544747081712	11.687	8.27	3.8448	24.37	0.0005	0.0038	0.63039	0.93984	-0.0001	1634033.333333333	0.3496474552512284
SB041117TAWCSCB73D12BR1TR1I308	4	17	041117	ODU	CB73	37.11681	1.0	0.0760233918128655	12.206	9.39	2.136	23.57	0.0002	0.0038	0.35372	0.332	0.0001	1634033.333333333	0.3496474552512284
SB041117TAWCSCB73D12BR1TR1I317	4	17	041117	ODU	CB73	37.11681	12.0	0.912280701754386	11.883	8.99	2.5632	25.44	0.0002	0.0038	0.4798	0.35244000000000003	0.0001	1634033.333333333	0.3496474552512284
SB050817TAWCSCB22D11BR1TR1I322	5	17	050817	DNR	CB22	39.348730000000025	11.0	0.912442396313364	14.6	10.1	2.8480000000000003	0.0	0.0061	0.051	1.61	3.631	0.7449	1211446.8528368794	0.7775971469736264
SB050817TAWCSCB31D13BR1TR1I323	5	17	050817	DNR	CB31	39.24950000000001	13.0	0.9339080459770116	15.0	4.0	4.628	9.14	0.009000000000000001	0.17800000000000002	2.9	9.826	0.29600000000000004	1211446.8528368794	0.7775971469736264
SB050817TAWCSCB32D10BR2TR1I324	5	17	050817	DNR	CB32	39.16368999999997	10.0	0.7272727272727273	14.6	2.7	5.126	10.5	0.0088	0.202	1.23	5.041	0.2632	1211446.8528368794	0.7775971469736264
SB050817TAWCSCB33CD5BR1TR1I320	5	17	050817	DNR	CB33C	38.995959999999975	1.0	0.0	17.6	10.5	9.505	2.71	0.006	0.0145	1.215	2.6060000000000003	0.5529999999999999	1154384.3528368794	0.7666588193001589
SB050817TAWCSCB33CD24BR1TR1I325	5	17	050817	DNR	CB33C	38.995959999999975	24.0	0.9469790382244144	12.5	1.1	5.34	16.02	0.0063	0.227	0.735	3.5565	0.1032	1154384.3528368794	0.7666588193001589
SB050817TAWCSCB42CD26BR1TR1I327	5	17	050817	DNR	CB42C	38.64618	26.0	0.943310657596372	13.9	2.1	1.2819999999999998	18.21	0.0039	0.185	0.369	0.74	0.0505	1154384.3528368794	0.7666588193001589
SB050817TAWCSCB43CD27BR1TR1I328	5	17	050817	DNR	CB43C	38.55505000000002	27.0	0.943894389438944	14.1	2.3	1.469	18.41	0.0038	0.156	0.45	0.868	0.0291	1154384.3528368794	0.7666588193001589
SB050817TAWCSCB44D31BR1TR1I329	5	17	050817	DNR	CB44	38.414570000000026	31.0	0.9647302904564315	14.4	2.8	1.495	19.11	0.0042	0.142	0.49	0.897	0.0432	1080023.936170213	0.7554933140726793
