Sample	enspie	observed_otus	faith_pd
SB071116TAWCSCB44D30BR1TR1I152	42.99324776613344	332.0	47.781947
SB071116TAWCSCB51D33BR1TR1I153	33.45071096738495	295.0	44.683372
SB071116TAWCSCB52D29BR1TR2I619	61.35171384281986	331.0	46.59091
SB071116TAWCSCB53D25BR2TR2I615	69.79045561981087	346.0	46.43868300000001
SB071116TAWCSCB54D25BR1TR1I157	62.02522774066897	338.0	45.7851255
SB071116TAWCSCB71D20BR1TR1I167	39.21023028768143	267.0	41.161412
SB071116TAWCSCB62D9BR1TR1I161	55.45772046820497	180.0	36.947672
SB071116TAWCSCB63D10BR1TR1I163	75.43030533755342	355.0	46.929165999999995
SB071116TAWCSCB72D20BR1TR1I169	81.13953486601244	222.0	38.9329365
SB071116TAWCSCB64D10BR1TR1I165	71.54720522850927	263.0	42.634996
SB071116TAWCSCB74D13BR2TR1I173	65.79507147499835	295.0	37.1816635
SB081216TAWCSCB22D11BR1TR2I617	25.744609868017136	251.0	38.705895
SB083116TAWCSCB22D11BR2TR2I622	46.76231568378819	294.0	42.8951685
SB081216TAWCSCB31D13BR1TR1I177	56.82055497761266	298.0	43.844858
SB082916TAWCSCB31D13BR1TR2I212	68.90959745955314	280.5	47.538279
SB081216TAWCSCB32D10BR1TR2I621	58.084140278787906	314.0	46.784043
SB081216TAWCSCB33CD0BR1TR1I126	54.556914448154494	273.0	40.181375
SB081216TAWCSCB33CD2BR1TR1I127	60.23800787213766	262.5	40.0051085
SB081216TAWCSCB33CD10BR1TR1I131	65.573093642126	302.0	44.0359885
SB081216TAWCSCB33CD13BR1TR1I134	40.84872927939906	309.5	45.337950000000006
SB081216TAWCSCB33CD15BR1TR1I136	11.363259313597894	323.0	47.7133795
SB081216TAWCSCB33CD16BR2TR1I138	6.2259689817409605	278.0	43.646316999999996
SB081216TAWCSCB33CD18BR1TR1I140	7.361105899085118	271.0	43.91775749999999
SB081216TAWCSCB33CD24BR1TR2I623	32.49988279236088	356.0	50.350635
SB081216TAWCSCB41CD31BR1TR2I618	55.54048672284456	334.5	48.8501755
SB083016TAWCSCB41CD31BR1TR1I216	15.40011321529768	258.0	46.2459795
SB081216TAWCSCB42CD26BR2TR1I612	65.52869155260737	333.5	49.1710425
SB082916TAWCSCB43CD26BR1TR2I220	25.90022694934494	286.0	45.7601695
SB081216TAWCSCB43CD26BR1TR1I184	87.4372358895058	394.5	54.80979549999999
SB082916TAWCSCB44D30BR1TR1I222	37.319131187177646	346.0	48.5436785
SB081216TAWCSCB51D33BR1TR1I186	27.1248063276762	313.5	46.41897700000001
SB082916TAWCSCB52D29BR1TR1I224	39.24954901933064	340.0	48.1908165
SB081216TAWCSCB53D25BR2TR2I189	61.21327241593305	382.5	48.406383500000004
SB082916TAWCSCB53D25BR1TR2I610	61.82977605071675	381.0	49.142286
SB081216TAWCSCB54D25BR1TR1I190	69.23807099304257	356.0	48.4103945
SB082916TAWCSCB54D25BR2TR1I228	71.0902921940029	279.0	45.1078985
SB081216TAWCSCB71D20BR2TR1I201	94.639622778355	235.0	44.3170095
SB082916TAWCSCB71D20BR2TR1I238	73.18322668813893	372.0	46.18748699999999
SB081216TAWCSCB61D11BR1TR1I192	59.77064252840928	181.0	37.322958
SB082916TAWCSCB61D11BR1TR1I230	67.49912042561401	263.0	43.670737
SB081216TAWCSCB62D9BR1TR1I194	88.77138901367228	365.0	48.572462
SB082916TAWCSCB62D9BR1TR1I232	61.848880822802045	381.5	47.446193
SB082916TAWCSCB63D10BR3TR1I234	68.29764789444539	281.0	42.646111
SB081216TAWCSCB63D11BR2TR1I196	91.6767057249234	411.0	47.669942
SB081216TAWCSCB72D20BR2TR1I203	85.54088507403799	215.0	37.572647
SB082916TAWCSCB72D20BR1TR1I241	95.34904276278952	244.0	36.4788875
SB081216TAWCSCB64D10BR2TR1I199	50.49650455979637	188.0	37.1918555
SB082916TAWCSCB64D10BR1TR1I236	88.92620149292783	396.0	44.9856745
SB081216TAWCSCB73D12BR1TR1I205	89.30900979183565	362.0	41.635517
SB082916TAWCSCB74D13BR1TR1I246	55.70022581313305	232.0	30.9938615
SB041117TAWCSCB22D11BR2TR1I288	16.883255363571145	102.0	17.328412
SB041117TAWCSCB31D13BR1TR1I289	68.34948089401297	254.0	31.364806
SB041117TAWCSCB32D10BR2TR1I290	27.52969899848441	245.0	29.623762
SB041117TAWCSCB33CD5BR1TR1I286	47.03169116658554	148.0	22.9357545
SB041117TAWCSCB33CD24BR1TR1I291	21.228752466256925	217.5	25.66138650000001
SB041117TAWCSCB42CD26BR1TR1I293	40.76334051170056	245.0	29.5193445
SB041117TAWCSCB43CD27BR1TR1I294	31.29008108314269	260.5	29.9108075
SB041117TAWCSCB44D31BR1TR1I295	43.50241764231413	298.0	35.117785999999995
SB041117TAWCSCB51D33BR1TR1I296	46.34982640187405	277.5	33.159279999999995
SB041117TAWCSCB53D5BR1TR1I284	19.315281380722766	157.0	21.523849
SB041117TAWCSCB54D25BR1TR1I300	9.8622408041707	146.0	21.060734
SB041117TAWCSCB54D25BR2TR1I310	50.41198929454502	261.0	32.990898
SB041117TAWCSCB71D20BR1TR1I306	26.057170084249268	202.0	25.886304
SB041117TAWCSCB71D20BR2TR1I315	39.697804477697225	233.0	28.789427000000003
SB041117TAWCSCB61D11BR1TR1I302	23.061231391599183	171.0	24.3974995
SB041117TAWCSCB61D11BR1TR1I311	45.79781134377839	236.0	30.7680805
SB041117TAWCSCB62D9BR1TR1I303	47.11828890662723	222.0	33.477366999999994
SB041117TAWCSCB62D9BR1TR1I312	36.79493957200871	243.0	29.145542499999998
SB041117TAWCSCB63D10BR1TR1I304	32.99487238136397	215.0	27.335326000000002
SB041117TAWCSCB72D20BR1TR1I307	25.64380911334703	215.0	28.0202095
SB041117TAWCSCB63D10BR2TR1I313	41.936447690639355	261.0	29.515861
SB041117TAWCSCB72D20BR1TR1I316	46.49631039460068	268.0	31.415088
SB041117TAWCSCB73D12BR1TR1I308	50.98939256560318	242.0	30.0600035
SB041117TAWCSCB73D12BR1TR1I317	44.52114604981674	297.0	34.6792375
SB050817TAWCSCB22D11BR1TR1I322	27.442136146851922	168.0	28.205491499999997
SB050817TAWCSCB31D13BR1TR1I323	53.118650544404794	278.0	35.799915999999996
SB050817TAWCSCB32D10BR2TR1I324	44.12054708945962	275.0	34.756588
SB050817TAWCSCB33CD5BR1TR1I320	42.66002977773736	234.0	32.3558795
SB050817TAWCSCB33CD24BR1TR1I325	30.87504300800528	235.0	32.31158
SB050817TAWCSCB42CD26BR1TR1I327	35.84164798551056	264.0	34.3120915
SB050817TAWCSCB43CD27BR1TR1I328	51.40382256585097	275.0	34.91515149999999
SB050817TAWCSCB44D31BR1TR1I329	39.38289509065436	260.0	33.628677999999994
SB050817TAWCSCB51D33BR1TR1I330	48.31417129064611	311.0	36.7350725
SB050817TAWCSCB53D5BR1TR1I318	30.004401165015963	237.0	32.43069000000001
SB050817TAWCSCB53D25BR2TR1I333	46.28293705338597	289.5	36.079907
SB050817TAWCSCB54D25BR1TR1I334	33.604867490571905	228.0	31.704482
SB050817TAWCSCB54D25BR1TR1I343	48.286960486080616	294.0	37.028105
SB050817TAWCSCB71D20BR1TR1I340	43.530398681405146	234.5	31.350274
SB050817TAWCSCB71D20BR2TR1I349	57.17485407924036	331.0	41.06116
SB050817TAWCSCB61D11BR1TR1I336	46.26862640857674	257.0	33.642356
SB050817TAWCSCB61D11BR1TR1I345	50.40183607517173	263.0	35.4326705
SB050817TAWCSCB62D9BR1TR1I337	39.62147756209545	250.5	32.9564245
SB050817TAWCSCB62D9BR1TR1I346	64.70479480319905	348.0	41.522581
SB050817TAWCSCB63D10BR1TR1I338	42.73939033234771	273.0	33.832252000000004
SB050817TAWCSCB72D20BR1TR1I341	41.760377142974335	233.5	31.911611
SB050817TAWCSCB63D10BR2TR1I347	54.532249520163234	282.0	34.38242149999999
SB050817TAWCSCB72D20BR1TR1I350	50.87191549028294	254.0	33.453250999999995
SB050817TAWCSCB73D12BR1TR1I342	62.75872209107411	275.0	38.327682
SB050817TAWCSCB73D12BR1TR1I351	75.68959431631308	349.0	41.0181855
SB060517TAWCSCB22D11BR2TR1I356	46.03989349540159	285.0	40.88879100000001
SB060517TAWCSCB31D13BR1TR1I357	33.999445284196	242.0	37.204478
SB062617TAWCSCB31D13BR1TR1I357	41.60991157325292	310.0	42.971574
SB060517TAWCSCB32D10BR2TR1I358	75.29423520243253	346.0	40.131701
SB061517TAWCSCB33CD0BR2TR1I558	42.85192897155552	233.0	35.57642050000001
SB060117TAWCSCB33CD0BR2TR1I542	96.57288939950129	347.5	49.2671125
SB060517TAWCSCB33CD5BR1TR1I354	40.99786528599641	253.5	35.7860355
SB060117TAWCSCB33CD1BR1TR1I525	63.672768124393826	282.0	40.2250205
SB061517TAWCSCB33CD2BR1TR1I561	56.52677033289877	252.0	37.508024
SB060117TAWCSCB33CD2BR1TR1I526	45.49519339382049	151.0	28.987922
SB060117TAWCSCB33CD3BR1TR1I527	68.57221934977548	278.0	39.69498299999999
SB060117TAWCSCB33CD4BR1TR1I528	51.52839325015273	244.0	37.507637
SB060117TAWCSCB33CD5BR1TR1I529	57.98618344946388	267.0	38.928612
SB061517TAWCSCB33CD6BR1TR1I563	57.720799200008756	283.0	39.2812825
SB060117TAWCSCB33CD6BR1TR1I530	86.27594760741108	404.0	55.6877645
SB060117TAWCSCB33CD7BR1TR1I531	67.65900242146131	207.0	35.558072
SB060117TAWCSCB33CD8BR1TR1I532	75.53849176807135	269.0	41.001757
SB060117TAWCSCB33CD8BR2TR1I546	69.8708409904066	361.0	49.96718800000001
SB061517TAWCSCB33CD8BR1TR1I564	60.140253919783724	310.0	44.3654295
SB060117TAWCSCB33CD10BR2TR1I547	65.90563351818483	284.0	40.580046
SB060117TAWCSCB33CD11BR1TR1I535	81.18562364780865	293.0	41.509326
SB060117TAWCSCB33CD12BR1TR1I536	88.30278833039647	355.0	45.871252
SB060117TAWCSCB33CD13BR1TR1I537	68.5926030921872	184.5	33.547641
SB060117TAWCSCB33CD14BR1TR1I538	62.82876619514744	225.0	40.962974
SB061517TAWCSCB33CD14BR1TR1I567	46.16094843662557	239.0	39.942161
SB060117TAWCSCB33CD15BR1TR1I539	74.1423823285315	275.0	41.025862
SB061517TAWCSCB33CD21BR1TR1I571	68.9982854736525	328.0	45.0257045
SB060117TAWCSCB33CD21BR2TR1I554	60.120169806776865	166.0	31.360965000000004
SB060517TAWCSCB33CD24BR1TR1I359	59.06224678331375	321.0	40.36896899999999
SB060517TAWCSCB42CD26BR1TR1I361	49.15618748459486	246.0	36.78250850000001
SB060517TAWCSCB43CD27BR1TR1I362	42.25930062149975	282.0	37.2994565
SB062617TAWCSCB43CD27BR1TR1I362	73.00645048800756	317.0	47.010177
SB060517TAWCSCB44D5BR1TR1I353	44.588141184271905	273.0	36.935778000000006
SB060517TAWCSCB44D31BR1TR1I363	47.39103047890444	326.0	40.026371999999995
SB062617TAWCSCB44D31BR1TR1I363	59.43535674715759	313.5	47.2240285
SB060517TAWCSCB51D33BR1TR1I364	39.603573146977055	258.0	35.372026
SB060517TAWCSCB53D5BR1TR1I352	48.26315517337101	297.0	41.422445
SB060517TAWCSCB53D25BR2TR1I367	52.442183170902176	282.0	37.9418155
SB062617TAWCSCB53D25BR1TR1I366	49.58105063249712	329.0	46.495631
SB060517TAWCSCB54D25BR1TR1I368	65.24858360361617	294.0	38.6381175
SB060517TAWCSCB54D25BR1TR1I377	39.57411915029304	301.0	39.792542499999996
SB060517TAWCSCB71D20BR1TR1I374	37.40359968563761	219.5	32.4898055
SB060517TAWCSCB71D20BR1TR1I383	42.52186622814249	297.0	40.78431550000001
SB060517TAWCSCB61D11BR1TR1I370	42.056801496137695	226.0	32.5260715
SB060517TAWCSCB61D11BR1TR1I379	34.24114387164763	301.0	38.169346
SB060517TAWCSCB62D9BR1TR1I371	41.8924889618332	219.0	32.651507499999994
SB060517TAWCSCB62D9BR1TR1I380	44.42121643985664	296.5	39.299781
SB060517TAWCSCB63D10BR1TR1I372	35.36982839172115	204.0	31.2089745
SB060517TAWCSCB63D10BR1TR1I381	47.41498298919032	308.0	38.5216705
SB060517TAWCSCB73D12BR1TR1I376	48.26186767232507	248.0	33.8722475
SB060517TAWCSCB73D12BR1TR1I385	73.7234908730733	335.0	47.175459
SB071017TAWCSCB22D11BR2TR1I390	16.095736547874182	190.0	28.954401
SB071017TAWCSCB31D13BR1TR1I391	28.847173420531288	258.0	35.931054
SB071017TAWCSCB32D10BR1TR1I392	67.41573806449351	303.0	46.8205615
SB071017TAWCSCB33CD5BR1TR1I388	49.38232904803094	295.0	42.2017505
SB071717TAWCSCB33CD2BR1TR1I576	34.04645163514371	227.0	35.41845900000001
SB071717TAWCSCB33CD6BR1TR1I578	28.688113100764518	359.0	51.6080175
SB071717TAWCSCB33CD10BR1TR1I580	19.085874754788136	346.5	50.47973399999999
SB071717TAWCSCB33CD12BR1TR1I581	27.66056486042393	342.0	50.729376
SB071717TAWCSCB33CD14BR1TR1I582	35.405540061832745	283.0	47.8013725
SB071017TAWCSCB33CD24BR1TR1I393	13.59129524716306	335.5	46.265652
SB071017TAWCSCB42CD26BR1TR1I395	38.559860769796025	320.0	48.76130850000001
SB071017TAWCSCB43CD27BR1TR1I396	47.44195537189702	378.0	52.7880065
SB071017TAWCSCB44D5BR1TR1I387	34.80284381790102	237.0	34.3758065
SB071017TAWCSCB44D31BR1TR1I397	77.1326106710676	353.0	47.52329500000001
SB071017TAWCSCB51D33BR1TR1I398	62.994897553575385	310.0	43.48088900000001
SB071017TAWCSCB54D25BR1TR1I402	27.19738616321541	227.0	33.6233035
SB071017TAWCSCB54D25BR2TR1I412	65.36944242421218	334.0	44.529223
SB071017TAWCSCB71D20BR1TR1I408	38.85967733496132	286.0	39.143141
SB071017TAWCSCB71D20BR1TR1I417	81.98381158793165	345.0	46.3902055
SB071017TAWCSCB61D11BR1TR1I404	30.96752255339261	244.5	35.8850475
SB071017TAWCSCB62D9BR1TR1I405	34.985839459332425	277.0	37.8298735
SB071017TAWCSCB63D10BR1TR1I406	22.517762819921302	240.0	34.962625
SB071017TAWCSCB72D20BR1TR1I409	39.09382172663826	256.0	37.050814
SB071017TAWCSCB73D12BR1TR1I410	28.901611893382835	263.0	36.7388115
SB071017TAWCSCB73D12BR1TR1I419	91.43901666267773	342.0	39.4071095
SB080717TAWCSCB22D11BR1TR1I423	27.885466132193194	246.0	38.4413645
SB082817TAWCSCB22D11BR2TR1I458	49.50065684469465	288.0	43.218931
SB080717TAWCSCB31D13BR1TR1I425	51.92515275376822	335.0	47.5255705
SB082817TAWCSCB31D13BR1TR1I459	20.636796147815627	328.0	46.5656345
SB082817TAWCSCB32D10BR1TR1I460	21.287868281881654	325.0	47.442412
SB080717TAWCSCB32D10BR1TR1I426	64.44457937096843	307.0	46.46609599999999
SB082817TAWCSCB33CD5BR1TR1I456	58.56120679444312	260.0	38.2882855
SB081417TAWCSCB33CD2BR1TR1I589	48.69214115902546	285.0	41.823025
SB081417TAWCSCB33CD6BR1TR1I591	77.68415424840398	305.0	44.513314
SB081417TAWCSCB33CD8BR1TR1I592	85.05217010436094	358.5	51.975001000000006
SB081417TAWCSCB33CD10BR1TR1I593	26.802379517962862	363.5	52.9609945
SB081417TAWCSCB33CD20BR1TR1I598	26.704074621365546	380.5	52.689638
SB082817TAWCSCB33CD24BR1TR1I461	11.366460936432686	293.5	44.5940205
SB080717TAWCSCB33CD24BR1TR1I427	48.049945129384355	362.0	50.7487855
SB080717TAWCSCB42CD26BR1TR1I429	55.687144409391536	345.0	43.8759765
SB082817TAWCSCB42CD26BR1TR1I463	44.84435742686903	368.0	49.222087
SB080717TAWCSCB43CD27BR1TR1I430	39.93703968179401	355.5	47.692163
SB082817TAWCSCB43CD27BR1TR1I464	38.6707891532893	352.0	48.6437775
SB080717TAWCSCB44D5BR1TR1I421	34.218777734942215	278.0	39.57113
SB082817TAWCSCB44D5BR1TR1I455	56.456229455281076	378.0	48.93832800000001
SB080717TAWCSCB44D31BR1TR1I431	74.72008875975307	419.0	52.9039525
SB082817TAWCSCB44D31BR1TR1I465	60.36559016644846	352.0	49.900727
SB080717TAWCSCB51D33BR1TR1I432	52.18268720685765	406.0	49.6046475
SB082817TAWCSCB51D33BR1TR1I466	34.24113657576045	298.5	46.01365
SB080717TAWCSCB53D5BR1TR1I420	44.32875976151363	252.0	39.668065999999996
SB082817TAWCSCB53D5BR1TR1I454	69.44145865516917	316.0	45.5634585
SB082817TAWCSCB53D25BR1TR1I468	71.58017049205056	362.5	47.072827000000004
SB082817TAWCSCB54D25BR1TR1I470	27.834700961957125	307.0	42.0935185
SB080717TAWCSCB54D25BR2TR1I437	46.549380415849676	192.0	38.247251500000004
SB080717TAWCSCB54D25BR2TR1I446	63.34136706049567	377.0	47.0723725
SB082817TAWCSCB54D25BR2TR1I480	79.69559793934192	377.0	47.787232
SB080717TAWCSCB71D20BR1TR1I442	38.96564099444414	283.0	39.432788
SB080717TAWCSCB71D20BR1TR1I451	61.78354231095773	372.5	47.7308485
SB080717TAWCSCB61D11BR1TR1I447	44.85111717863906	331.0	45.584228
SB080717TAWCSCB62D9BR1TR1I439	35.686141378429	313.5	41.421879
SB082817TAWCSCB62D9BR1TR1I473	53.71778287124761	412.0	49.296759
SB082817TAWCSCB62D9BR1TR1I482	94.01032381658636	425.5	49.792657
SB080717TAWCSCB62D9BR1TR1I448	50.62429767424359	316.0	44.5681315
SB080717TAWCSCB63D10BR1TR1I440	39.94272756758761	308.0	47.4740175
SB082817TAWCSCB63D10BR1TR1I474	60.04721560216858	330.0	43.90351100000001
SB080717TAWCSCB72D20BR1TR1I443	52.28602088582329	297.5	41.95799
SB080717TAWCSCB63D10BR1TR1I449	57.20058265081971	352.5	45.710984
SB082817TAWCSCB63D10BR1TR1I483	77.73916294564178	390.5	46.963408
SB080717TAWCSCB72D20BR1TR1I452	73.02544207921298	381.0	46.282139
SB080717TAWCSCB73D12BR1TR1I444	38.02760314109366	344.0	42.2116375
SB082817TAWCSCB73D12BR1TR1I478	51.67734844393701	341.0	44.088883
SB080717TAWCSCB73D12BR1TR1I453	78.63649216612528	334.5	39.54507150000001
SB091817TAWCSCB33CD5BR1TR1I490	29.131684133911282	279.0	36.9726805
SB091817TAWCSCB33CD24BR1TR1I495	75.76984867485484	344.0	49.888223499999995
SB091817TAWCSCB42CD26BR1TR1I497	71.27200426547058	411.0	51.11142200000001
SB091817TAWCSCB43CD27BR1TR1I498	59.47735641606685	378.0	49.360689
SB091817TAWCSCB44D5BR1TR1I489	46.8325958531439	280.0	38.05828149999999
SB091817TAWCSCB44D31BR1TR1I499	89.9089985075388	393.0	50.1376355
SB091817TAWCSCB51D33BR1TR1I500	85.55307406631374	386.0	49.87573500000001
SB091817TAWCSCB53D5BR1TR1I488	68.30231062785249	350.0	45.44842
SB091817TAWCSCB53D25BR2TR1I503	84.24151255491986	396.0	49.326496999999996
SB091817TAWCSCB54D25BR2TR1I505	49.74182002318482	190.5	37.772496
SB091817TAWCSCB71D20BR1TR1I510	69.42967863555593	311.0	42.9529095
SB091817TAWCSCB71D20BR1TR1I520	103.05418377684113	413.0	49.5004305
SB091817TAWCSCB62D9BR1TR1I507	68.27227983971855	319.5	43.964341999999995
SB091817TAWCSCB62D9BR1TR1I517	73.98586383885353	423.0	50.8241575
SB091817TAWCSCB72D20BR1TR1I511	70.48002186540516	346.0	45.8176115
SB091817TAWCSCB63D10BR1TR1I508	68.28004218910867	342.0	46.101933
SB091817TAWCSCB63D10BR1TR1I518	100.54033728387724	394.0	49.7804435
SB091817TAWCSCB72D20BR1TR1I521	91.6091211708478	332.0	42.949424500000006
SB091817TAWCSCB73D12BR1TR1I522	80.53008499152861	397.0	46.8288055
