"StationName"	"depth_float"	"Latitude"	"Longitude"	"RawCount"	"TrimCount"	"CollectionAgency"	"sequencing_ID"	"Month"	"Year"	"Month_Year"	"julian_day"	"day_length"	"anti_day_length"	"julian_seconds"	"Depth_Percentage"	"Discharge_James_14"	"Discharge_Susquehanna_14"	"enspie"	"faith_pd"	"WTEMP"	"SALINITY"	"DO"	"PH"	"habitat"
"SB082015TAWCSCB33CD10BR1TR1I61"	"CB33C"	10	39.000233	-76.360085	312336	75229	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	33000	0.394574599260173	27821.875	133004.375	41.7919724762679	34.2918195	26.737	12.16	3.62	7.59	2
"SB082015TAWCSCB33CD11BR1TR1I63"	"CB33C"	11	39.000233	-76.360085	386049	76669	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	33420	0.43403205918619	27821.875	133004.375	52.3154560844104	34.9256135	26.625	12.84	3.02	7.52	2
"SB082015TAWCSCB33CD12BR1TR1I64"	"CB33C"	12	39.000233	-76.360085	129569	43724	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	33780	0.473489519112207	27821.875	133004.375	30.6139159279009	32.696595	26.642	14.28	1.58	7.37	2
"SB082015TAWCSCB33CD13BR1TR1I65"	"CB33C"	13	39.000233	-76.360085	146277	52909	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	34080	0.512946979038224	27821.875	133004.375	29.8172466644564	33.555798	26.43	15.18	0.99	7.33	2
"SB082015TAWCSCB33CD14BR1TR1I66"	"CB33C"	14	39.000233	-76.360085	112097	37883	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	34380	0.552404438964242	27821.875	133004.375	25.3754515019346	33.494033	26.351	17.26	0.03	7.35	2
"SB082015TAWCSCB33CD15BR1TR1I67"	"CB33C"	15	39.000233	-76.360085	68586	23215	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	34620	0.591861898890259	27821.875	133004.375	23.7681962053453	33.7510465	26.303	18.11	0.01	7.36	2
"SB082015TAWCSCB33CD16BR1TR1I68"	"CB33C"	16	39.000233	-76.360085	409045	147584	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	34860	0.631319358816276	27821.875	133004.375	29.8414521677125	39.235217	26.309	18.14	0.01	7.37	2
"SB082015TAWCSCB33CD17BR1TR1I69"	"CB33C"	17	39.000233	-76.360085	302047	97562	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	35100	0.670776818742293	27821.875	133004.375	26.5367073726749	37.9323335	26.331	19.19	0	7.37	2
"SB082015TAWCSCB33CD18BR1TR1I70"	"CB33C"	18	39.000233	-76.360085	353847	135285	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	35340	0.710234278668311	27821.875	133004.375	31.0954927861093	40.8149685	26.34	19.67	0	7.37	2
"SB082015TAWCSCB33CD19BR1TR1I71"	"CB33C"	19	39.000233	-76.360085	230025	87093	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	35580	0.749691738594328	27821.875	133004.375	34.0218846896355	39.7734005	26.351	19.84	0	7.37	2
"SB082015TAWCSCB33CD20BR1TR1I74"	"CB33C"	20	39.000233	-76.360085	160268	70542	"Preheim"	"spr12"	8	15	"08 15"	243	0.50496105472152	0.863142128049912	35760	0.789149198520345	27821.875	133004.375	10.624393835791	45.986583	26.351	19.89	0	7.37	2
"SB062716TAWCSCB33CD1BR2TR1I80"	"CB33C"	1	38.9973833333333	-76.3588833333333	353676	119015	"Preheim"	"e_13"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	33180	0.0394574599260173	106503.583333333	147550.833333333	66.0244694893039	35.0228905	24.292	11.1	8.55	8.08	3
"SB062716TAWCSCB33CD2BR1TR1I81"	"CB33C"	2	38.9973833333333	-76.3588833333333	356225	202016	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	33720	0.0789149198520345	106503.583333333	147550.833333333	86.9993720979968	43.1255825	24.06	11.55	6.98	7.79	3
"SB062716TAWCSCB33CD4BR1TR1I82"	"CB33C"	4	38.9973833333333	-76.3588833333333	330664	206463	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	34260	0.157829839704069	106503.583333333	147550.833333333	67.2014406761063	36.41906	23.778	11.76	6.27	7.66	2
"SB062716TAWCSCB33CD6BR1TR1I83"	"CB33C"	6	38.9973833333333	-76.3588833333333	420653	170255	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	34920	0.236744759556104	106503.583333333	147550.833333333	62.7102074026711	36.6501055	23.387	12.59	4.55	7.39	2
"SB062716TAWCSCB33CD8BR1TR1I84"	"CB33C"	8	38.9973833333333	-76.3588833333333	320633	162022	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	35520	0.315659679408138	106503.583333333	147550.833333333	88.3982458488272	42.42807	22.5	13.64	3.25	7.26	2
"SB062716TAWCSCB33CD10BR1TR1I85"	"CB33C"	10	38.9973833333333	-76.3588833333333	513615	179160	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	36300	0.394574599260173	106503.583333333	147550.833333333	94.3126330337443	44.5855025	20.724	15.57	1.08	7.14	2
"SB062716TAWCSCB33CD12BR2TR1I87"	"CB33C"	12	38.9973833333333	-76.3588833333333	506595	175225	"Preheim"	"e_13"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	36900	0.473489519112207	106503.583333333	147550.833333333	79.639923039905	45.665344	20.364	16.04	0.74	7.13	2
"SB062716TAWCSCB33CD14BR1TR1I88"	"CB33C"	14	38.9973833333333	-76.3588833333333	431302	183867	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	37500	0.552404438964242	106503.583333333	147550.833333333	67.6608878876227	34.523509	20.37	16.07	0.75	7.13	2
"SB062716TAWCSCB33CD16BR1TR1I89"	"CB33C"	16	38.9973833333333	-76.3588833333333	332122	209328	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	38700	0.631319358816276	106503.583333333	147550.833333333	55.6743920271607	37.334769	20.209	16.17	0.61	7.12	2
"SB062716TAWCSCB33CD18BR1TR1I90"	"CB33C"	18	38.9973833333333	-76.3588833333333	351581	203242	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	39180	0.710234278668311	106503.583333333	147550.833333333	58.5444241740761	38.374855	20.139	16.23	0.57	7.12	2
"SB062716TAWCSCB33CD21BR1TR1I92"	"CB33C"	21	38.9973833333333	-76.3588833333333	345232	212929	"Preheim"	"Miseq_sp"	6	16	"06 16"	555	0.99167731989929	0.128748177452582	39960	0.828606658446362	106503.583333333	147550.833333333	60.6101553425321	41.4923905	19.966	16.49	0.43	7.12	2
"SB071116TAWCSCB22D11BR2TR2I616"	"CB22"	11	39.34873	-76.17579	474386	158534	"DNR"	"e_13"	7	16	"07 16"	571	0.919285969718611	0.393590276656466	36720	0.912442396313364	95901.3541666667	93274.5833333333	39.2086907292497	38.5287905	26.8	6.43	5.3	7.2	1
"SB072516TAWCSCB33CD0BR1TR2I620"	"CB33C"	0	38.9979187338577	-76.3591160886891	573747	189418	"Preheim"	"e_13"	7	16	"07 16"	583	0.81901488666808	0.573772267904325	34140	0	51304.1666666667	77681.4583333333	38.7842124968359	41.2717415	28.441	12.26	7.16	7.88	2
"SB072516TAWCSCB33CD0BR2TR1I96"	"CB33C"	2	38.9979187338577	-76.3591160886891	430566	189782	"Preheim"	"KM"	7	16	"07 16"	583	0.81901488666808	0.573772267904325	34560	0.0789149198520345	51304.1666666667	77681.4583333333	26.7431024515466	41.253426	28.22	13.2	7.11	7.94	3
"SB072516TAWCSCB33CD4BR1TR1I102"	"CB33C"	4	38.9979187338577	-76.3591160886891	1136004	516240	"Preheim"	"KM"	7	16	"07 16"	583	0.81901488666808	0.573772267904325	35100	0.157829839704069	51304.1666666667	77681.4583333333	33.9177228609297	43.0342435	27.858	13.5	6.16	7.79	2
"SB072516TAWCSCB33CD6BR1TR1I104"	"CB33C"	6	38.9979187338577	-76.3591160886891	500897	177273	"Preheim"	"e_13"	7	16	"07 16"	583	0.81901488666808	0.573772267904325	35880	0.236744759556104	51304.1666666667	77681.4583333333	18.2591580252971	39.545995	27.942	14.07	5.08	7.62	2
"SB072516TAWCSCB33CD8BR1TR1I107"	"CB33C"	8	38.9979187338577	-76.3591160886891	388909	130071	"Preheim"	"e_13"	7	16	"07 16"	583	0.81901488666808	0.573772267904325	36360	0.315659679408138	51304.1666666667	77681.4583333333	44.3392042590226	45.576391	26.26	15.63	1.29	7.16	2
"SB071116TAWCSCB33CD24BR1TR2I611"	"CB33C"	24	38.99596	-76.35967	429606	152147	"DNR"	"e_13"	7	16	"07 16"	570	0.92592477719385	0.377707965203965	55200	0.946979038224414	104497.916666667	95166.875	69.4034594208686	46.648208	22.6	18.21	0.36	7.2	2
"SB071116TAWCSCB43CD26BR1TR1I151"	"CB43C"	27	38.55505	-76.42794	8064	3774	"DNR"	"KM"	7	16	"07 16"	570	0.92592477719385	0.377707965203965	36720	0.98019801980198	104497.916666667	95166.875	47.4147291206478	36.922038	23.2	19.94	0.74	7.3	2
"SB071116TAWCSCB44D30BR1TR1I152"	"CB44"	31	38.41457	-76.34565	425417	191915	"DNR"	"KM"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	56700	0.964730290456432	113796.770833333	96602.2916666667	42.9932477661334	47.781947	22.9	20.36	0.6	7.3	2
"SB071116TAWCSCB51D33BR1TR1I153"	"CB51"	33	38.3187	-76.29215	499339	177329	"DNR"	"e_13"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	53340	0.958064516129032	113796.770833333	96602.2916666667	33.4507109673849	44.683372	22.8	20.85	0.5	7.3	2
"SB071116TAWCSCB52D29BR1TR2I619"	"CB52"	29	38.13705	-76.22787	499592	176422	"DNR"	"e_13"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	48840	0.943089430894309	113796.770833333	96602.2916666667	61.3517138428199	46.59091	24.4	20.22	3.2	7.6	2
"SB071116TAWCSCB53D25BR2TR2I615"	"CB53"	25	37.91011	-76.17137	376934	121417	"DNR"	"e_13"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	44040	0.939597315436242	113796.770833333	96602.2916666667	69.7904556198109	46.438683	24.8	21.97	4.1	7.7	2
"SB071116TAWCSCB54D25BR1TR1I157"	"CB54"	25	37.80013	-76.17466	411234	183903	"ODU"	"KM"	7	16	"07 16"	570	0.92592477719385	0.377707965203965	34260	0.779727095516569	104497.916666667	95166.875	62.025227740669	45.7851255	24.972	22.92	3.25	7.65	2
"SB071116TAWCSCB71D20BR1TR1I167"	"CB71"	16	37.68346	-75.98966	65927	34387	"ODU"	"spr14"	7	16	"07 16"	570	0.92592477719385	0.377707965203965	49620	0.888888888888889	104497.916666667	95166.875	39.2102302876814	41.161412	25.639	23.03	3.78	7.7	2
"SB071116TAWCSCB62D9BR1TR1I161"	"CB62"	9	37.4868	-76.15633	14964	6934	"ODU"	"spr14"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	52920	0.878048780487805	113796.770833333	96602.2916666667	55.457720468205	36.947672	25.135	23.02	3.25	7.61	2
"SB071116TAWCSCB63D10BR1TR1I163"	"CB63"	11	37.41153	-76.15966	386714	173041	"ODU"	"KM"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	50820	0.967032967032967	113796.770833333	96602.2916666667	75.4303053375534	46.929166	25.355	24.02	4.06	7.7	2
"SB071116TAWCSCB72D20BR1TR1I169"	"CB72"	20	37.41153	-76.07966	16927	7513	"ODU"	"KM"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	48720	0.933852140077821	113796.770833333	96602.2916666667	81.1395348660124	38.9329365	24.913	26.21	5.06	7.81	2
"SB071116TAWCSCB64D10BR1TR1I165"	"CB64"	8	37.23653	-76.20799	35603	16281	"ODU"	"KM"	7	16	"07 16"	571	0.919285969718611	0.393590276656466	31680	0.857142857142857	95901.3541666667	93274.5833333333	71.5472052285093	42.634996	24.71	25.26	3.79	7.69	2
"SB071116TAWCSCB74D13BR2TR1I173"	"CB74"	14	36.9957	-76.02048	146033	65459	"ODU"	"KM"	7	16	"07 16"	569	0.932289213174514	0.361713730729766	33900	0.933333333333333	113796.770833333	96602.2916666667	65.7950714749984	37.1816635	19.572	31.45	6.45	7.88	3
"SB081216TAWCSCB22D11BR1TR2I617"	"CB22"	11	39.34873	-76.17579	644320	222635	"DNR"	"e_13"	8	16	"08 16"	599	0.632103411187348	0.774884041367041	36180	0.912442396313364	62721.4583333333	106474.791666667	25.7446098680171	38.705895	28	5.45	5.3	7.2	1
"SB083116TAWCSCB22D11BR2TR2I622"	"CB22"	11	39.34873	-76.17579	399055	144255	"DNR"	"e_13"	8	16	"08 16"	620	0.317191288589106	0.948361580012172	36360	0.912442396313364	33572.2916666667	130080	46.7623156837882	42.8951685	27.8	8.38	4.2	7.2	2
"SB081216TAWCSCB31D13BR1TR1I177"	"CB31"	13	39.2495	-76.2405	475876	219379	"DNR"	"KM"	8	16	"08 16"	599	0.632103411187348	0.774884041367041	33720	0.933908045977012	62721.4583333333	106474.791666667	56.8205549776127	43.844858	27.3	11.41	2.1	7.2	2
"SB082916TAWCSCB31D13BR1TR2I212"	"CB31"	13	39.2495	-76.2405	39211	17936	"DNR"	"KM"	8	16	"08 16"	620	0.317191288589106	0.948361580012172	33780	0.933908045977012	33572.2916666667	130080	68.9095974595531	47.538279	27.5	12.99	3.1	7.3	2
"SB081216TAWCSCB32D10BR1TR2I621"	"CB32"	10	39.16369	-76.30631	592127	202455	"DNR"	"e_13"	8	16	"08 16"	599	0.632103411187348	0.774884041367041	31320	0.808080808080808	62721.4583333333	106474.791666667	58.0841402787879	46.784043	27	12.93	1.2	7.2	2
"SB081216TAWCSCB33CD0BR1TR1I126"	"CB33C"	0	38.9979187338577	-76.3591160886891	475602	163289	"Preheim"	"e_13"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	31800	0	68300.9375	109029.375	54.5569144481545	40.181375	28.821	14.6	9.25	8.09	3
"SB081216TAWCSCB33CD2BR1TR1I127"	"CB33C"	2	38.9979187338577	-76.3591160886891	145106	65679	"Preheim"	"KM"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	32520	0.0789149198520345	68300.9375	109029.375	60.2380078721377	40.0051085	28.233	14.7	7.47	7.89	3
"SB081216TAWCSCB33CD10BR1TR1I131"	"CB33C"	10	38.9979187338577	-76.3591160886891	400463	178941	"Preheim"	"KM"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	35400	0.394574599260173	68300.9375	109029.375	65.573093642126	44.0359885	28.091	14.91	6.42	7.75	2
"SB081216TAWCSCB33CD13BR1TR1I134"	"CB33C"	13	38.9979187338577	-76.3591160886891	431001	153280	"Preheim"	"e_13"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	40440	0.512946979038224	68300.9375	109029.375	40.8487292793991	45.33795	27.549	16.45	4.07	7.51	2
"SB081216TAWCSCB33CD15BR1TR1I136"	"CB33C"	15	38.9979187338577	-76.3591160886891	529779	234144	"Preheim"	"KM"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	40080	0.591861898890259	68300.9375	109029.375	11.3632593135979	47.7133795	26.083	19.66	0.1	7.23	2
"SB081216TAWCSCB33CD16BR2TR1I138"	"CB33C"	16	38.9979187338577	-76.3591160886891	536874	195814	"Preheim"	"e_13"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	37500	0.631319358816276	68300.9375	109029.375	6.22596898174096	43.646317	26.043	19.855	0.11	7.24	2
"SB081216TAWCSCB33CD18BR1TR1I140"	"CB33C"	18	38.9979187338577	-76.3591160886891	344944	113894	"Preheim"	"e_13"	8	16	"08 16"	601	0.60505606964885	0.796182863782615	38160	0.710234278668311	68300.9375	109029.375	7.36110589908512	43.9177575	26.012	20.05	0.11	7.25	2
"SB081216TAWCSCB33CD24BR1TR2I623"	"CB33C"	24	38.99596	-76.3596699999999	400873	134486	"DNR"	"e_13"	8	16	"08 16"	598	0.645348113229551	0.763888612790542	55140	0.946979038224414	59022.5	103536.25	32.4998827923609	50.350635	25.6	19.24	0.29	7.3	2
"SB081216TAWCSCB41CD31BR1TR2I618"	"CB41C"	31	38.82593	-76.39945	479953	163461	"DNR"	"e_13"	8	16	"08 16"	598	0.645348113229551	0.763888612790542	48540	0.96875	59022.5	103536.25	55.5404867228446	48.8501755	26	20.22	0.3	7.3	2
"SB083016TAWCSCB41CD31BR1TR1I216"	"CB41C"	31	38.82593	-76.39945	32295	14174	"DNR"	"KM"	8	16	"08 16"	619	0.333468778918186	0.942761143390421	46620	0.96875	35088.5416666667	132691.458333333	15.4001132152977	46.2459795	27.1	20.99	0.36	7.3	2
"SB081216TAWCSCB42CD26BR2TR1I612"	"CB42C"	26	38.64618	-76.42127	395770	131816	"DNR"	"e_13"	8	16	"08 16"	598	0.645348113229551	0.763888612790542	42120	0.943310657596372	59022.5	103536.25	65.5286915526074	49.1710425	26.2	20.78	0.3	7.3	2
"SB082916TAWCSCB43CD26BR1TR2I220"	"CB43C"	26	38.55505	-76.42794	293803	102322	"DNR"	"e_13"	8	16	"08 16"	619	0.333468778918186	0.942761143390421	34980	0.943894389438944	35088.5416666667	132691.458333333	25.9002269493449	45.7601695	27.1	21.9	0.36	7.4	2
"SB081216TAWCSCB43CD26BR1TR1I184"	"CB43C"	26	38.55505	-76.42794	163677	74645	"DNR"	"KM"	8	16	"08 16"	598	0.645348113229551	0.763888612790542	36420	0.943894389438944	59022.5	103536.25	87.4372358895058	54.8097955	26.5	20.85	0.3	7.3	2
"SB082916TAWCSCB44D30BR1TR1I222"	"CB44"	31	38.41457	-76.34565	648036	288055	"DNR"	"KM"	8	16	"08 16"	618	0.349647455251229	0.936881346295431	49080	0.964730290456432	35980.4166666667	133699.862588652	37.3191311871776	48.5436785	27.1	22.67	0.3	7.4	2
"SB081216TAWCSCB51D33BR1TR1I186"	"CB51"	33	38.3187	-76.29215	223954	100827	"DNR"	"KM"	8	16	"08 16"	597	0.658401584698049	0.752666827532008	47040	0.958064516129032	52591.0416666667	98408.9583333333	27.1248063276762	46.418977	27.1	21.76	0.3	7.4	2
"SB082916TAWCSCB52D29BR1TR1I224"	"CB52"	30	38.13705	-76.22787	367793	164024	"DNR"	"KM"	8	16	"08 16"	618	0.349647455251229	0.936881346295431	42000	0.975609756097561	35980.4166666667	133699.862588652	39.2495490193306	48.1908165	27.5	22.67	0.4	7.4	2
"SB081216TAWCSCB53D25BR2TR2I189"	"CB53"	25	37.91011	-76.17137	502824	174152	"DNR"	"e_13"	8	16	"08 16"	597	0.658401584698049	0.752666827532008	38880	0.939597315436242	52591.0416666667	98408.9583333333	61.213272415933	48.4063835	27.1	23.31	3.4	7.8	2
"SB082916TAWCSCB53D25BR1TR2I610"	"CB53"	25	37.91011	-76.17137	299176	107450	"DNR"	"e_13"	8	16	"08 16"	618	0.349647455251229	0.936881346295431	37500	0.939597315436242	35980.4166666667	133699.862588652	61.8297760507168	49.142286	27.7	23.38	2.7	7.7	2
"SB081216TAWCSCB54D25BR1TR1I190"	"CB54"	25	37.80013	-76.17466	143925	62906	"ODU"	"KM"	8	16	"08 16"	598	0.645348113229551	0.763888612790542	33960	0.779727095516569	59022.5	103536.25	69.2380709930426	48.4103945	26.9	24.83	3.54	7.83	2
"SB082916TAWCSCB54D25BR2TR1I228"	"CB54"	25	37.80013	-76.17466	30886	14304	"ODU"	"KM"	8	16	"08 16"	619	0.333468778918186	0.942761143390421	34440	0.779727095516569	35088.5416666667	132691.458333333	71.0902921940029	45.1078985	27.515	24.15	2.74	7.67	2
"SB081216TAWCSCB71D20BR2TR1I201"	"CB71"	16	37.68346	-75.98966	14820	6811	"ODU"	"KM"	8	16	"08 16"	598	0.645348113229551	0.763888612790542	50820	0.888888888888889	59022.5	103536.25	94.639622778355	44.3170095	26.684	25.27	3.72	7.83	2
"SB082916TAWCSCB71D20BR2TR1I238"	"CB71"	17	37.68346	-75.98966	398585	179225	"ODU"	"KM"	8	16	"08 16"	619	0.333468778918186	0.942761143390421	49740	0.944444444444444	35088.5416666667	132691.458333333	73.1832266881389	46.187487	27.21	24.77	3.82	7.76	2
"SB081216TAWCSCB61D11BR1TR1I192"	"CB61"	11	37.58847	-76.16216	9239	4169	"ODU"	"KM"	8	16	"08 16"	597	0.658401584698049	0.752666827532008	60660	0.909090909090909	52591.0416666667	98408.9583333333	59.7706425284093	37.322958	26.608	25.37	3.37	7.81	2
"SB082916TAWCSCB61D11BR1TR1I230"	"CB61"	11	37.58847	-76.16216	31603	14199	"ODU"	"KM"	8	16	"08 16"	618	0.349647455251229	0.936881346295431	63060	0.909090909090909	35980.4166666667	133699.862588652	67.499120425614	43.670737	27.339	24.06	2.41	7.61	2
"SB081216TAWCSCB62D9BR1TR1I194"	"CB62"	9	37.4868	-76.15633	84646	39216	"ODU"	"KM"	8	16	"08 16"	597	0.658401584698049	0.752666827532008	53100	0.878048780487805	52591.0416666667	98408.9583333333	88.7713890136723	48.572462	26.037	26.39	4.23	7.85	2
"SB082916TAWCSCB62D9BR1TR1I232"	"CB62"	9	37.4868	-76.1563299999999	721144	320573	"ODU"	"KM"	8	16	"08 16"	618	0.349647455251229	0.936881346295431	55800	0.878048780487805	35980.4166666667	133699.862588652	61.848880822802	47.446193	27.491	23.35	4.1	7.8	2
