SampleID	StationName	DateMMDDYY	DepthName	sequencing ID	CollectionAgency	sequencing_ID	Month	Year	Month_Year	Salinity_Group	Time	Actual Depth (m)	Temp (°C)	Conductivity (μS/cm)	Specific Conductivity (μS/cm)	Total Dissolved Solids (mg/L)	Salinity (PSU)	ODO (% sat)	ODO (mg/L)	Pressure (psi)	pH	ORP (mV)	Turbidity (FNU)	Station	CHLA	DIN	DO	DOC	DON	DOP	FSS	KD	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALINITY	SECCHI	SIF	SIGMA_T	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	WTEMP	TotalDepth
SB072215TAWCSCB33CD10BR2TR1I38	CB33C	072215	10	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	11:09:10	9.91	24.418	23624.4	23893.0	15533.0	14.48	-0.2	-0.02	14.209	7.19	115.6	1.09																																	
SB072215TAWCSCB33CD11BR1TR1I39	CB33C	072215	11	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	12:19:44	10.948	24.255	25837.3	26215.6	17040.0	16.03	-0.5	-0.03	15.715	7.24	-303.3	1.68																																	
SB072215TAWCSCB33CD12BR1TR1I40	CB33C	072215	12	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	11:21:08	12.037	24.024	26195.4	26691.75	17349.5	16.35	-0.4	-0.03	17.2845	7.23	-300.35	1.5																																	
SB072215TAWCSCB33CD13BR1TR1I41	CB33C	072215	13	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	12:08:11	13.321	24.096	26757.9	27226.4	17697.0	16.71	-0.5	-0.03	19.131	7.25	-327.9	1.59																																	
SB072215TAWCSCB33CD14BR1TR1I42	CB33C	072215	14	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CD15BR1TR1I43	CB33C	072215	15	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CD18BR1TR1I44	CB33C	072215	18	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	11:36:04	18.319	23.79	28607.3	29284.1	19034.5	18.1	-0.4	-0.03	26.343	7.24	-345.1	0.91																																	
SB072215TAWCSCB33CD20BR1TR1I45	CB33C	072215	20	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline	11:45:52	20.1545	23.739	29012.0	29728.1	19323.0	18.4	-0.5	-0.03	28.9885	7.25	-349.1	1.08																																	
SB072215TAWCSCB33CD22BR1TR1I46	CB33C	072215	22	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CDEBBR1TR1I47	CB33C	072215	LAB	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB072215TAWCSCB33CDSBBR1TR1I26	CB33C	072215	LAB	sprehei1_123382	Preheim	spr12	07	15	07 15	Mesohaline																																														
SB082015TAWCSCB33CD0BR1TR1I51	CB33C	082015	00	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline																																														
SB082015TAWCSCB33CD1BR1TR1I52	CB33C	082015	01	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	08:13:00	0.963	26.943	20398.0	19668.4	12784.0	11.68	81.8	6.11	1.117	7.95	210.7	2.48																																	
SB082015TAWCSCB33CD3BR1TR1I54	CB33C	082015	03	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	08:31:00	3.075	26.968	20485.7	19745.5	12833.0	11.72	82.2	6.14	4.393	7.96	193.9	2.46																																	
SB082015TAWCSCB33CD4BR1TR1I55	CB33C	082015	04	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	08:37:00	4.113	26.972	20505.4	19765.8	12848.0	11.74	81.4	6.08	5.878	7.96	192.0	2.4																																	
SB082015TAWCSCB33CD6BR1TR1I57	CB33C	082015	06	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline																																														
SB082015TAWCSCB33CD7BR1TR1I58	CB33C	082015	07	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	08:55:00	7.217	26.929	20937.8	20219.7	13145.0	12.04	75.1	5.61	10.315	7.89	181.0	2.16																																	
SB082015TAWCSCB33CD8BR1TR1I59	CB33C	082015	08	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:00:00	8.344	26.901	20978.3	20247.3	13161.0	12.05	71.3	5.32	11.942	7.85	183.1	1.98																																	
SB082015TAWCSCB33CD9BR1TR1I60	CB33C	082015	09	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:05:00	9.321	26.877	21000.3	20276.5	13180.0	12.07	67.1	5.12	13.333	7.81	186.0	2.0																																	
SB082015TAWCSCB33CD10BR1TR1I61	CB33C	082015	10	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:10:00	10.143	26.737	21016.7	20374.5	13260.0	12.16	48.1	3.62	14.527	7.59	192.1	2.0																																	
SB082015TAWCSCB33CD10BR2TR1I62	CB33C	082015	10	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:10:00	10.143	26.737	21016.7	20374.5	13260.0	12.16	48.1	3.62	14.527	7.59	192.1	2.0																																	
SB082015TAWCSCB33CD11BR1TR1I63	CB33C	082015	11	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:17:00	11.328	26.625	22256.2	21490.7	13959.0	12.84	40.4	3.02	16.217	7.52	193.1	1.97																																	
SB082015TAWCSCB33CD12BR1TR1I64	CB33C	082015	12	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:23:00	12.3	26.642	24307.6	23571.6	15338.0	14.28	21.3	1.58	17.636	7.37	195.6	2.2																																	
SB082015TAWCSCB33CD13BR1TR1I65	CB33C	082015	13	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:28:00	13.272	26.43	25845.9	25142.5	16314.0	15.18	13.5	0.99	19.06	7.33	193.0	2.16																																	
SB082015TAWCSCB33CD14BR1TR1I66	CB33C	082015	14	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:33:00	14.466	26.351	28833.7	28114.1	18279.0	17.26	0.7	0.03	20.722	7.35	64.5	4.03																																	
SB082015TAWCSCB33CD15BR1TR1I67	CB33C	082015	15	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:37:00	15.392	26.303	30086.1	29364.5	19082.0	18.11	0.2	0.01	22.102	7.36	-121.9	4.46																																	
SB082015TAWCSCB33CD16BR1TR1I68	CB33C	082015	16	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:41:00	16.369	26.309	30104.1	29400.0	19114.0	18.14	0.1	0.01	23.425	7.37	-259.5	4.53																																	
SB082015TAWCSCB33CD17BR1TR1I69	CB33C	082015	17	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:45:00	17.151	26.331	31504.0	30782.2	20031.0	19.19	0.1	0.0	24.651	7.37	-296.7	3.5																																	
SB082015TAWCSCB33CD18BR1TR1I70	CB33C	082015	18	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:49:00	18.048	26.34	32400.2	31592.6	20535.0	19.67	0.0	0.0	26.115	7.37	-304.8	3.17																																	
SB082015TAWCSCB33CD19BR1TR1I71	CB33C	082015	19	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:53:00	18.955	26.351	32734.8	31918.5	20775.0	19.84	0.0	0.0	27.314	7.37	-310.0	2.8																																	
SB082015TAWCSCB33CD20BR1TR1I74	CB33C	082015	20	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline	09:56:00	19.884	26.351	32791.3	31941.0	20765.0	19.89	0.0	0.0	28.614	7.37	-309.6	2.72																																	
SB082015TAWCSCB33CD21BR1TR1I75	CB33C	082015	21	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline																																														
SB082015TAWCSCB33CDEBBR1TR1I76	CB33C	082015	LAB	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline																																														
SB082015TAWCSCB33CDSBBR1TR1I50	CB33C	082015	LAB	sprehei1_123382	Preheim	spr12	08	15	08 15	Mesohaline																																														
SB062716TAWCSCB33CD0BR2TR1I78	CB33C	062716	00	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline																																														
SB062716TAWCSCB33CD1BR2TR1I80	CB33C	062716	01	esakows1_132789	Preheim	e_13	06	16	06 16	Mesohaline	09:13:00	1.235	24.292	18469.0	18724.0	12171.0	11.1	108.8	8.55	1.722	8.08	288.0	2.24																																	
SB062716TAWCSCB33CD1BR1TR3I604	CB33C	062716	01	Keith_Maeve1_138650	Preheim	KM	06	16	06 16	Mesohaline	09:13:00	1.235	24.292	18469.0	18724.0	12171.0	11.1	108.8	8.55	1.722	8.08	288.0	2.24																																	
SB062716TAWCSCB33CD1BR1TR1I79	CB33C	062716	01	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	09:13:00	1.235	24.292	18469.0	18724.0	12171.0	11.1	108.8	8.55	1.722	8.08	288.0	2.24																																	
SB062716TAWCSCB33CD2BR1TR1I81	CB33C	062716	02	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	09:22:00	2.365	24.06	19062.0	19407.0	12611.0	11.55	89.0	6.98	3.386	7.79	291.7	1.87																																	
SB062716TAWCSCB33CD4BR1TR1I82	CB33C	062716	04	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	09:31:00	4.399	23.778	19728.0	19734.0	12830.0	11.76	79.3	6.27	6.315	7.66	292.7	1.9																																	
SB062716TAWCSCB33CD6BR1TR1I83	CB33C	062716	06	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	09:42:00	6.37	23.387	20153.0	20819.0	13538.0	12.59	55.4	4.55	8.99	7.39	294.1	1.52																																	
SB062716TAWCSCB33CD8BR1TR1I84	CB33C	062716	08	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	09:52:00	8.32	22.5	21545.0	22611.0	14690.0	13.64	40.6	3.25	11.9	7.26	292.0	1.29																																	
SB062716TAWCSCB33CD10BR1TR1I85	CB33C	062716	10	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	10:05:00	9.94	20.724	23483.0	25533.0	16584.0	15.57	13.2	1.08	14.3	7.14	288.2	0.95																																	
SB062716TAWCSCB33CD12BR2TR1I87	CB33C	062716	12	esakows1_132789	Preheim	e_13	06	16	06 16	Mesohaline	10:15:00	12.12	20.364	23853.0	26169.0	17010.0	16.04	9.0	0.74	17.414	7.13	284.0	0.83																																	
SB062716TAWCSCB33CD12BR2TR1I603	CB33C	062716	12	Keith_Maeve1_138650	Preheim	KM	06	16	06 16	Mesohaline	10:15:00	12.12	20.364	23853.0	26169.0	17010.0	16.04	9.0	0.74	17.414	7.13	284.0	0.83																																	
SB062716TAWCSCB33CD12BR1TR1I86	CB33C	062716	12	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	10:15:00	12.12	20.364	23853.0	26169.0	17010.0	16.04	9.0	0.74	17.414	7.13	284.0	0.83																																	
SB062716TAWCSCB33CD14BR1TR1I88	CB33C	062716	14	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	10:25:00	14.35	20.37	23900.0	26218.0	17042.0	16.07	9.1	0.75	20.62	7.13	276.5	0.74																																	
SB062716TAWCSCB33CD16BR1TR1I89	CB33C	062716	16	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	10:45:00	16.388	20.209	23954.0	26388.0	17131.0	16.17	7.4	0.61	23.542	7.12	268.2	0.8																																	
SB062716TAWCSCB33CD18BR1TR1I90	CB33C	062716	18	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	10:53:00	17.99	20.139	24013.0	26472.0	17202.0	16.23	6.9	0.57	25.88	7.12	248.0	0.91																																	
SB062716TAWCSCB33CD20BR1TR1I91	CB33C	062716	20	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline																																														
SB062716TAWCSCB33CD21BR1TR1I92	CB33C	062716	21	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline	11:06:00	20.688	19.966	24258.0	26848.0	17146.0	16.49	5.3	0.43	29.66	7.12	216.6	1.33																																	
SB062716TAWCSCB33CDEBBR1TR1I94	CB33C	062716	LAB	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline																																														
SB062716TAWCSCB33CDSBBR1TR1I93	CB33C	062716	LAB	Miseq_data_SarahPreheim_Sept2016	Preheim	Miseq_sp	06	16	06 16	Mesohaline																																														
SB062716TAWCSLABDNCBR1TR1I601	LAB	062716	LAB	Miseq_data_SarahPreheim_Sept2016		Miseq_sp	06	16	06 16																																															
SB062716TAWCSLABDPCBR1TR1I602	LAB	062716	LAB	Miseq_data_SarahPreheim_Sept2016		Miseq_sp	06	16	06 16																																															
SB071116TAWCSCB22D11BR2TR2I616	CB22	071316	11	esakows1_132789	DNR	e_13	07	16	07 16	Oligohaline	10:12:00													CB2.2	6.622000000000001	0.17800000000000002	5.3		0.332	0.006			0.027999999999999997	0.15	0.004	0.146	0.866	7.2	3.695	0.153	0.0036	0.0267	6.43			1.47034	11700.0	0.51	0.0096	0.6629999999999999	0.485	0.0363	14.8		26.8	12.0
SB071316TAWCSCB22D11BR2TR2I613	CB22	071316	11	esakows1_132789	DNR	e_13	07	16	07 16	Oligohaline	10:12:00													CB2.2	6.622000000000001	0.17800000000000002	5.3		0.332	0.006			0.027999999999999997	0.15	0.004	0.146	0.866	7.2	3.695	0.153	0.0036	0.0267	6.43			1.47034	11700.0	0.51	0.0096	0.6629999999999999	0.485	0.0363	14.8		26.8	12.0
SB071116TAWCSCB22D11BR1TR1I144	CB22	071316	11	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Oligohaline	10:12:00													CB2.2	6.622000000000001	0.17800000000000002	5.3		0.332	0.006			0.027999999999999997	0.15	0.004	0.146	0.866	7.2	3.695	0.153	0.0036	0.0267	6.43			1.47034	11700.0	0.51	0.0096	0.6629999999999999	0.485	0.0363	14.8		26.8	12.0
SB071116TAWCSCB22D11BR2TR1I145	CB22	071316	11	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Oligohaline	10:12:00													CB2.2	6.622000000000001	0.17800000000000002	5.3		0.332	0.006			0.027999999999999997	0.15	0.004	0.146	0.866	7.2	3.695	0.153	0.0036	0.0267	6.43			1.47034	11700.0	0.51	0.0096	0.6629999999999999	0.485	0.0363	14.8		26.8	12.0
SB072516TAWCSCB33CD0BR1TR2I620	CB33C	072516	00	esakows1_132789	Preheim	e_13	07	16	07 16	Mesohaline	09:29:00	0.209	28.441	21967.0	20604.4	13397.0	12.26	98.6	7.16	0.311	7.88	229.8	1.9																																	
SB072516TAWCSCB33CD0BR1TR1I95	CB33C	072516	00	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline	09:29:00	0.209	28.441	21967.0	20604.4	13397.0	12.26	98.6	7.16	0.311	7.88	229.8	1.9																																	
SB072516TAWCSCB33CD0BR2TR1I96	CB33C	072516	00	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline	09:29:00	0.209	28.441	21967.0	20604.4	13397.0	12.26	98.6	7.16	0.311	7.88	229.8	1.9																																	
SB072516TAWCSCB33CD4BR1TR1I102	CB33C	072516	04	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline	09:45:00	3.97	27.858	23701.2	22477.8	14619.0	13.5	84.6	6.16	5.706	7.79	227.6	0.8																																	
SB072516TAWCSCB33CD4BR2TR1I101	CB33C	072516	04	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline	09:45:00	3.97	27.858	23701.2	22477.8	14619.0	13.5	84.6	6.16	5.706	7.79	227.6	0.8																																	
SB072516TAWCSCB33CD6BR1TR1I104	CB33C	072516	06	esakows1_132789	Preheim	e_13	07	16	07 16	Mesohaline	09:58:00	6.023	27.942	24640.9	23323.0	15159.0	14.07	70.5	5.08	8.654	7.62	223.8	0.53																																	
SB072516TAWCSCB33CD6BR2TR1I105	CB33C	072516	06	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline	09:58:00	6.023	27.942	24640.9	23323.0	15159.0	14.07	70.5	5.08	8.654	7.62	223.8	0.53																																	
SB072516TAWCSCB33CD8BR1TR1I107	CB33C	072516	08	esakows1_132789	Preheim	e_13	07	16	07 16	Mesohaline	10:06:00	8.09	26.26	26207.0	25600.0	16659.0	15.63	18.4	1.29	11.58	7.16	220.6	-0.1																																	
SB072516TAWCSCB33CD14BR1TR1I113	CB33C	072516	14	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline	10:28:00	13.91	24.017	29624.6	30118.0	19591.0	18.0																																							
SB072516TAWCSCB33CD16BR1TR1I115	CB33C	072516	16	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline																																														
SB072516TAWCSCB33CD18BR1TR1I118	CB33C	072516	18	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline																																														
SB072516TAWCSCB33CD20BR1TR1I121	CB33C	072516	20	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline																																														
SB072516TAWCSCB33CD20BR2TR1I120	CB33C	072516	20	Keith_Maeve1_138650	Preheim	KM	07	16	07 16	Mesohaline																																														
SB072516TAWCSCB33CD22BR1TR1I123	CB33C	072516	22	esakows1_132789	Preheim	e_13	07	16	07 16	Mesohaline																																														
SB071116TAWCSCB33CD24BR1TR2I611	CB33C	071216	24	esakows1_132789	DNR	e_13	07	16	07 16	Mesohaline	15:20:00													CB3.3C	0.961	0.2332	0.36		0.3318	0.0078			0.23	0.0032	0.0014	0.002433333333333333	0.257	7.2	0.235	0.062	0.040400000000000005	0.008400000000000001	18.21			11.48376	29600.0	0.565	0.0482	0.627	0.3938	0.0566	6.4		22.6	25.5
SB071116TAWCSCB33CD24BR1TR1I148	CB33C	071216	24	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Mesohaline	15:20:00													CB3.3C	0.961	0.2332	0.36		0.3318	0.0078			0.23	0.0032	0.0014	0.002433333333333333	0.257	7.2	0.235	0.062	0.040400000000000005	0.008400000000000001	18.21			11.48376	29600.0	0.565	0.0482	0.627	0.3938	0.0566	6.4		22.6	25.5
SB072516TAWCSCB33CDSBBR1TR1I125	CB33C	072516	LAB	esakows1_132789	Preheim	e_13	07	16	07 16	Mesohaline																																														
94_AmirControl_R1	CB33C	071616	LAB	esakows1_152133_plate_1	Preheim	e_15_1	07	16	07 16	Mesohaline																																														
94_AmirControl_R2	CB33C	071616	LAB	esakows1_152133_plate_2	Preheim	e_15_2	07	16	07 16	Mesohaline																																														
SB071116TAWCSCB41CD31BR1TR1I149	CB41C	071116	31	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Mesohaline																																														
SB071116TAWCSCB43CD26BR1TR1I151	CB43C	071216	27	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Mesohaline	10:12:00													CB4.3C	0.748	0.1548	0.74		0.3452	0.0167			0.138	0.0168	0.0069	0.0099	0.244	7.3	0.374	0.05	0.0229	0.0072	19.94			12.63068	32100.0	0.5	0.0396	0.55	0.3952	0.0468	9.2		23.2	28.0
SB071116TAWCSCB44D30BR1TR1I152	CB44	071116	31	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Mesohaline	15:45:00													CB4.4	0.6409999999999999	0.1785	0.6		0.3415	0.0182			0.159	0.0195	0.0071	0.0124		7.3	0.406		0.0243	0.0072	20.36			13.02823	32700.0	0.52	0.0425			0.0497	4.0		22.9	32.0
SB071116TAWCSCB51D33BR1TR1I153	CB51	071116	33	esakows1_132789	DNR	e_13	07	16	07 16	Mesohaline	14:49:00													CB5.1	0.534	0.2588	0.5		0.2512	0.018000000000000002			0.24	0.0188	0.0094	0.0094	0.235	7.3	0.214	0.048	0.0297	0.0076	20.85			13.42501	33400.0	0.51	0.0477	0.5579999999999999	0.2992	0.0553	6.2		22.8	34.0
SB071116TAWCSCB52D29BR1TR2I619	CB52	071116	29	esakows1_132789	DNR	e_13	07	16	07 16	Mesohaline	13:34:00													CB5.2	1.709	0.1207	3.2		0.3093	0.0158			0.105	0.0157	0.0088	0.0069	0.373	7.6	1.1320000000000001	0.064	0.0147	0.0085	20.22			12.51187	32500.0	0.43	0.0305	0.494	0.3733	0.039	10.0		24.4	30.5
SB071116TAWCSCB52D29BR1TR1I154	CB52	071116	29	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Mesohaline	13:34:00													CB5.2	1.709	0.1207	3.2		0.3093	0.0158			0.105	0.0157	0.0088	0.0069	0.373	7.6	1.1320000000000001	0.064	0.0147	0.0085	20.22			12.51187	32500.0	0.43	0.0305	0.494	0.3733	0.039	10.0		24.4	30.5
SB071116TAWCSCB53D25BR2TR2I615	CB53	071116	25	esakows1_132789	DNR	e_13	07	16	07 16	Mesohaline	12:14:00													CB5.3	1.335	0.1099	4.1		0.3101	0.0107			0.092	0.0179	0.0045	0.0134	0.633	7.7	2.496	0.098	0.015	0.0155	21.97			13.71609	35000.0	0.42	0.0257	0.518	0.4081	0.0412	15.8		24.8	26.0
SB071116TAWCSCB53D25BR2TR1I156	CB53	071116	25	Keith_Maeve1_138650	DNR	KM	07	16	07 16	Mesohaline	12:14:00													CB5.3	1.335	0.1099	4.1		0.3101	0.0107			0.092	0.0179	0.0045	0.0134	0.633	7.7	2.496	0.098	0.015	0.0155	21.97			13.71609	35000.0	0.42	0.0257	0.518	0.4081	0.0412	15.8		24.8	26.0
SB071116TAWCSCB54D25BR1TR1I157	CB54	071216	25	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Mesohaline	09:31:00													CB5.4			3.25											7.65					22.92			14.38174	36310.0								24.971999999999998	32.0
SB071116TAWCSCB54D25BR2TR1I158	CB54	071216	25	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Mesohaline	09:31:00													CB5.4			3.25											7.65					22.92			14.38174	36310.0								24.971999999999998	32.0
SB071116TAWCSCB71D20BR1TR1I167	CB71	071216	16	sprehei1_149186	ODU	spr14	07	16	07 16	Polyhaline	13:47:00													CB7.1	2.5365	0.11699999999999999	3.78		0.1705	-0.0031	4.32		0.105	0.012	0.004	0.008	0.368	7.7	1.368	0.06629	0.0175	0.0093	23.03		0.741	14.26983	36476.0	0.2875	0.0144	0.3538	0.2368	0.0237	6.84	2.52	25.639	17.0
SB071116TAWCSCB71D20BR2TR1I168	CB71	071216	16	sprehei1_149186	ODU	spr14	07	16	07 16	Polyhaline	13:47:00													CB7.1	2.5365	0.11699999999999999	3.78		0.1705	-0.0031	4.32		0.105	0.012	0.004	0.008	0.368	7.7	1.368	0.06629	0.0175	0.0093	23.03		0.741	14.26983	36476.0	0.2875	0.0144	0.3538	0.2368	0.0237	6.84	2.52	25.639	17.0
SB071116TAWCSCB62D9BR1TR1I161	CB62	071116	09	sprehei1_149186	ODU	spr14	07	16	07 16	Polyhaline	14:42:00													CB6.2	3.2039999999999997	0.0756	3.25		0.1668	-0.002	6.46		0.0675	0.0081	0.0029	0.0052	0.5838300000000001	7.61	1.368	0.10283	0.0095	0.0134	23.02		0.8385	14.40979	36450.0	0.2424	0.0075	0.3452	0.2696	0.0209	9.6	3.14	25.135	10.0
SB071116TAWCSCB62D9BR2TR1I162	CB62	071116	09	sprehei1_149186	ODU	spr14	07	16	07 16	Polyhaline	14:42:00													CB6.2	3.2039999999999997	0.0756	3.25		0.1668	-0.002	6.46		0.0675	0.0081	0.0029	0.0052	0.5838300000000001	7.61	1.368	0.10283	0.0095	0.0134	23.02		0.8385	14.40979	36450.0	0.2424	0.0075	0.3452	0.2696	0.0209	9.6	3.14	25.135	10.0
SB071116TAWCSCB63D10BR1TR1I163	CB63	071116	11	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Polyhaline	14:07:00													CB6.3	2.2695	0.0962	4.06		0.1657	-0.003	7.52		0.0898	0.0064	0.0033	0.0031	0.51452	7.7	1.368	0.08889	0.0153	0.0149	24.02		0.7666	15.09808	37882.0	0.2619	0.0123	0.3508	0.2546	0.0272	10.48	2.96	25.355	12.0
SB071116TAWCSCB63D10BR2TR1I164	CB63	071116	11	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Polyhaline	14:07:00													CB6.3	2.2695	0.0962	4.06		0.1657	-0.003	7.52		0.0898	0.0064	0.0033	0.0031	0.51452	7.7	1.368	0.08889	0.0153	0.0149	24.02		0.7666	15.09808	37882.0	0.2619	0.0123	0.3508	0.2546	0.0272	10.48	2.96	25.355	12.0
SB071116TAWCSCB72D20BR1TR1I169	CB72	071116	20	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Polyhaline	13:32:00													CB7.2	1.6019999999999999	0.0716	5.06		0.1462	0.0022	13.24		0.0684	0.0032	0.0017	0.0015	0.54374	7.81	1.7622	0.09109	0.0188	0.0167	26.21		0.5352	16.877010000000002	40970.0	0.2178	0.021	0.3089	0.2373	0.0377	16.8	3.56	24.913	21.0
SB071116TAWCSCB64D10BR1TR1I165	CB64	071316	08	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Polyhaline	08:48:00													CB6.4	2.5365	0.0625	3.79		0.1602	-0.001	3.38		0.0556	0.0069	0.0026	0.0043	0.39349	7.69	1.368	0.07481	0.0179	0.0086	25.26		0.6586	16.22006	39620.0	0.2227	0.0169	0.2975	0.235	0.0255	5.72	2.34	24.71	9.0
SB071116TAWCSCB74D13BR2TR1I173	CB74	071116	14	Keith_Maeve1_138650	ODU	KM	07	16	07 16	Polyhaline	09:25:00													CB7.4	1.368	0.0073500000000000015	6.45		0.10395	-0.0016	3.92		0.0071	0.0003	0.0008	-0.00035	0.24004	7.88	1.368	0.04879	0.0115	0.0057	31.45		0.1796	22.31216	48151.0	0.1113	0.0099	0.1601	0.15275	0.0156	5.86	1.94	19.572	15.0
SB081216TAWCSCB22D11BR1TR2I617	CB22	081016	11	esakows1_132789	DNR	e_13	08	16	08 16	Oligohaline	10:03:00													CB2.2	4.913	0.163	5.3		0.43700000000000006	0.0059			0.057999999999999996	0.105	0.0255	0.0795	0.9940000000000001	7.2	3.46	0.135	0.0283	0.0245	5.45			0.38955	10100.0	0.6	0.0342	0.735	0.5720000000000001	0.0587	16.0		28.0	12.0
SB083116TAWCSCB22D11BR2TR2I622	CB22	083116	11	esakows1_132789	DNR	e_13	08	16	08 16	Oligohaline	10:06:00													CB2.2	2.563	0.27399999999999997	4.2		0.316	0.0155			0.013000000000000001	0.261	0.1895	0.0715	1.08	7.2	2.221	0.138	0.0518	0.0286	8.38			2.64483	14800.0	0.59	0.0673	0.728	0.45399999999999996	0.0959	20.4		27.8	12.5
SB081216TAWCSCB22D11BR1TR1I176	CB22	081016	11	Keith_Maeve1_138650	DNR	KM	08	16	08 16	Oligohaline	10:03:00													CB2.2	4.913	0.163	5.3		0.43700000000000006	0.0059			0.057999999999999996	0.105	0.0255	0.0795	0.9940000000000001	7.2	3.46	0.135	0.0283	0.0245	5.45			0.38955	10100.0	0.6	0.0342	0.735	0.5720000000000001	0.0587	16.0		28.0	12.0
